X Y Z F A
.300 -47.460 18.420 50.910 -2.278
.300 -47.460 18.420 50.910 -3.127
.180 -47.040 17.700 50.260 -3.127
.180 -47.040 17.700 50.260 3.112
.000 -45.900 16.980 48.940 3.101
.000 -45.900 16.980 48.940 3.101
.240 -44.820 15.660 47.478 3.128
.240 -44.820 15.660 47.478 3.128
.540 -43.920 13.560 45.969 3.133
.540 -43.920 13.560 45.969 3.133
1.140 -43.260 11.160 44.691 -3.088
1.140 -43.260 11.160 44.691 -3.088
2.520 -43.560 8.100 44.378 -3.092
2.520 -43.560 8.100 44.378 -3.100
3.420 -44.580 5.280 45.022 -3.100
3.420 -44.580 5.280 45.022 -3.059
3.900 -46.140 2.880 46.394 -3.059
3.900 -46.140 2.880 46.394 -3.055
5.400 -47.940 .180 48.244 -3.055
5.400 -47.940 .180 48.244 -3.027
6.300 -49.920 -2.580 50.382 -3.027
6.300 -49.920 -2.580 50.382 -3.016
6.540 -51.120 -5.520 51.831 -3.002
6.540 -51.120 -5.520 51.831 -3.002
6.480 -51.660 -8.640 52.777 -2.996
5.280 -51.120 -11.700 52.707 -2.996
5.280 -51.120 -11.700 52.707 -3.009
5.280 -51.120 -11.700 52.707 -3.009
3.780 -49.740 -14.280 51.887 -3.027
3.180 -47.160 -17.460 50.389 -3.039
3.180 -47.160 -17.460 50.389 -3.039
2.460 -44.340 -19.680 48.574 -3.052
2.460 -44.340 -19.680 48.574 -3.052
1.080 -41.940 -21.240 47.024 -3.013
1.080 -41.940 -21.240 47.024 -3.013
-1.200 -40.560 -21.840 46.082 -3.102
-1.200 -40.560 -21.840 46.082 -3.102
-3.960 -41.340 -20.940 46.510 3.127
-3.960 -41.340 -20.940 46.510 3.113
-6.300 -42.720 -20.100 47.631 3.113
-6.300 -42.720 -20.100 47.631 2.945
-8.820 -45.420 -18.480 49.822 2.945
-8.820 -45.420 -18.480 49.822 2.961
-10.380 -47.700 -16.800 51.626 2.961
-10.380 -47.700 -16.800 51.626 2.919
-12.480 -48.660 -15.240 52.496 2.919
-12.480 -48.660 -15.240 52.496 2.890
-15.180 -49.680 -13.140 53.584 2.801
