X Y Z F A
-8.040 -22.920 -12.540 27.335 2.751
-8.040 -22.980 -12.840 27.524 2.686
-8.040 -22.980 -12.840 27.524 2.775
-7.860 -22.980 -13.440 27.758 2.775
-7.860 -22.980 -13.440 27.758 2.841
-7.320 -23.040 -14.160 28.017 2.841
-7.320 -23.040 -14.160 28.017 2.810
-6.840 -23.160 -15.180 28.524 2.810
-6.840 -23.160 -15.180 28.524 2.848
-6.240 -23.700 -16.980 29.815 2.848
-6.240 -23.700 -16.980 29.815 2.798
-5.640 -24.540 -18.540 31.269 2.889
-5.640 -24.540 -18.540 31.269 2.889
-5.160 -25.920 -20.580 33.496 2.870
-5.160 -25.920 -20.580 33.496 2.870
-4.500 -26.880 -22.740 35.495 2.955
-4.500 -26.880 -22.740 35.495 2.955
-3.960 -27.840 -24.840 37.520 -3.060
-3.960 -27.840 -24.840 37.520 -3.060
-3.540 -28.260 -27.420 39.535 2.967
-3.540 -28.260 -27.420 39.535 3.047
-3.180 -27.960 -29.280 40.610 3.047
-3.180 -27.960 -29.280 40.610 3.023
-2.760 -27.720 -31.020 41.692 3.023
-2.760 -27.720 -31.020 41.692 2.990
-2.520 -27.000 -32.940 42.666 2.990
-2.520 -27.000 -32.940 42.666 3.072
-2.760 -25.380 -35.400 43.645 3.072
-2.760 -25.380 -35.400 43.645 2.967
-3.180 -23.400 -37.620 44.418 -3.117
-3.180 -23.400 -37.620 44.418 -3.117
-4.440 -21.000 -40.020 45.413 3.119
-4.440 -21.000 -40.020 45.413 3.119
-5.340 -17.100 -42.000 45.661 2.928
-5.340 -17.100 -42.000 45.661 2.928
-6.120 -14.340 -42.780 45.533 -2.954
-6.120 -14.340 -42.780 45.533 -2.954
-6.960 -12.900 -43.440 45.846 2.495
-6.960 -12.900 -43.440 45.846 2.523
-8.280 -12.360 -43.620 46.087 2.523
-8.280 -12.360 -43.620 46.087 2.658
-10.320 -14.940 -42.540 46.253 2.658
-10.320 -14.940 -42.540 46.253 2.595
-11.940 -18.120 -41.400 46.742 2.595
-11.940 -18.120 -41.400 46.742 2.517
-13.800 -20.400 -40.260 47.196 2.453
-13.800 -20.400 -40.260 47.196 2.453
-15.240 -23.220 -38.220 47.246 2.641
-15.240 -23.220 -38.220 47.246 2.641
-17.160 -24.600 -36.900 47.552 2.435
-17.160 -24.600 -36.900 47.552 2.435
-19.380 -25.380 -35.580 47.809 2.459
-19.380 -25.380 -35.580 47.809 2.459
-21.840 -25.980 -33.420 47.632 2.849
-21.840 -25.980 -33.420 47.632 2.849
-24.480 -26.280 -30.660 47.222 2.313
-24.480 -26.280 -30.660 47.222 2.282
-25.740 -26.100 -28.200 46.249 2.282
-25.740 -26.100 -28.200 46.249 2.361
-27.420 -25.980 -25.560 45.608 2.361
-27.420 -25.980 -25.560 45.608 2.313
-28.260 -26.040 -24.060 45.339 2.313
-28.260 -26.040 -24.060 45.339 2.250
-28.680 -25.860 -24.180 45.563 2.250
-28.680 -25.860 -24.180 45.563 2.378
-29.100 -26.460 -24.720 46.454 2.308
-29.100 -26.460 -24.720 46.454 2.308
-28.320 -27.660 -26.400 47.582 2.269
-28.320 -27.660 -26.400 47.582 2.269
-27.000 -28.740 -28.320 48.549 2.301
-27.000 -28.740 -28.320 48.549 2.301
-25.080 -29.820 -30.240 49.322 2.375
-25.080 -29.820 -30.240 49.322 2.390
-23.340 -30.540 -31.860 49.925 2.390
-23.340 -30.540 -31.860 49.925 2.476
-21.420 -29.640 -33.000 49.258 2.476
-21.420 -29.640 -33.000 49.258 2.845
-19.680 -28.740 -33.600 48.397 2.845
-19.680 -28.740 -33.600 48.397 2.455
-17.820 -27.540 -33.900 47.172 2.455
-17.820 -27.540 -33.900 47.172 2.497
-15.600 -26.400 -34.200 45.934 2.558
-15.600 -26.400 -34.200 45.934 2.558
-13.680 -25.380 -34.320 44.824 2.612
-13.680 -25.380 -34.320 44.824 2.612
-12.060 -24.300 -34.380 43.794 2.618
-12.060 -24.300 -34.380 43.794 2.618
-10.920 -23.100 -34.500 42.931 2.715
-10.920 -23.100 -34.500 42.931 2.715
-9.600 -21.780 -34.620 42.013 2.749
-9.600 -21.780 -34.620 42.013 2.726
-8.040 -21.180 -35.160 41.827 2.726
-8.040 -21.180 -35.160 41.827 2.649
-6.360 -20.520 -35.340 41.357 2.649
-6.360 -20.520 -35.340 41.357 2.860
-4.440 -19.800 -35.520 40.908 2.860
-4.440 -19.800 -35.520 40.908 2.763
-3.240 -18.720 -35.580 40.335 2.763
-3.240 -18.720 -35.580 40.335 2.883
-2.160 -18.120 -35.220 39.667 -2.659
-2.160 -18.120 -35.220 39.667 -2.659
-1.260 -17.820 -34.920 39.224 -3.120
-1.260 -17.820 -34.920 39.224 -3.120
.060 -17.400 -35.520 39.553 3.140
.060 -17.400 -35.520 39.553 3.140
2.640 -17.400 -36.120 40.179 2.931
2.640 -17.400 -36.120 40.179 2.931
4.800 -18.000 -36.780 41.229 -3.114
4.800 -18.000 -36.780 41.229 -2.901
7.200 -17.940 -38.100 42.723 -2.901
7.200 -17.940 -38.100 42.723 -2.744
9.600 -17.820 -40.020 44.848 -2.744
9.600 -17.820 -40.020 44.848 -2.754
11.400 -18.240 -42.180 47.348 -2.754
11.400 -18.240 -42.180 47.348 -2.408
13.680 -16.920 -45.180 50.146 -2.544
13.680 -16.920 -45.180 50.146 -2.544
16.920 -15.900 -48.780 54.024 -2.473
16.920 -15.900 -48.780 54.024 -2.473
19.260 -16.680 -51.600 57.548 -2.123
19.260 -16.680 -51.600 57.548 -2.123
21.180 -17.340 -55.620 61.991 -2.215
21.180 -17.340 -55.620 61.991 -2.215
22.560 -19.560 -59.040 66.161 -2.001
22.560 -19.560 -59.040 66.161 -2.008
23.280 -23.340 -62.280 70.466 -2.008
23.280 -23.340 -62.280 70.466 -2.140
24.840 -24.960 -65.520 74.383 -2.140
24.840 -24.960 -65.520 74.383 -2.671
26.220 -27.960 -67.440 77.572 -2.671
26.220 -27.960 -67.440 77.572 -2.252
27.360 -31.380 -67.980 79.715 -2.252
27.360 -31.380 -67.980 79.715 -2.335
27.360 -33.300 -68.040 80.541 -2.545
27.360 -33.300 -68.040 80.541 -2.545
25.680 -37.020 -67.440 81.105 -2.630
25.680 -37.020 -67.440 81.105 -2.630
24.180 -39.780 -65.400 80.276 -2.485
24.180 -39.780 -65.400 80.276 -2.485
