X Y Z F A
-24.300 -5.280 23.400 34.146 .000
-24.180 -5.400 23.100 33.874 1.845
-24.180 -5.400 23.100 33.874 1.839
-24.600 -5.640 23.160 34.254 1.839
-24.600 -5.640 23.160 34.254 1.864
-24.060 -6.060 22.740 33.656 1.864
-24.060 -6.060 22.740 33.656 1.888
-23.880 -6.240 22.260 33.237 1.888
-23.880 -6.240 22.260 33.237 1.888
-24.240 -6.240 22.860 33.898 1.888
-24.240 -6.240 22.860 33.898 1.911
-23.580 -5.580 22.620 33.148 1.925
-23.580 -5.580 22.620 33.148 1.925
-23.640 -5.520 23.100 33.510 1.886
-23.640 -5.520 23.100 33.510 1.886
-24.120 -5.700 22.500 33.474 1.967
-24.120 -5.700 22.500 33.474 1.899
-23.940 -5.700 21.480 32.665 1.899
-23.940 -5.700 21.480 32.665 1.905
-24.000 -6.360 19.560 31.608 1.863
-24.000 -6.360 19.560 31.608 1.863
-24.000 -6.900 16.800 30.097 1.892
-24.000 -6.900 16.800 30.097 1.892
-23.460 -7.440 15.120 28.885 2.010
-23.460 -7.440 15.120 28.885 2.010
-22.860 -8.160 12.240 27.184 1.875
-22.860 -8.160 12.240 27.184 1.928
-21.900 -9.180 10.560 25.988 1.928
-21.900 -9.180 10.560 25.988 1.990
-20.640 -10.500 8.820 24.780 1.990
-20.640 -10.500 8.820 24.780 2.046
-19.620 -11.400 6.540 23.615 2.046
-19.620 -11.400 6.540 23.615 2.082
-18.540 -12.480 4.680 22.834 2.082
-18.540 -12.480 4.680 22.834 2.161
-18.480 -13.200 2.640 22.863 2.201
-18.480 -13.200 2.640 22.863 2.201
-18.420 -12.780 .360 22.422 2.180
-18.420 -12.780 .360 22.422 2.180
-18.360 -12.180 -2.280 22.150 2.164
-18.360 -12.180 -2.280 22.150 2.164
-18.540 -10.380 -4.920 21.810 2.147
-18.540 -10.380 -4.920 21.810 2.147
-18.480 -8.160 -7.020 21.386 2.090
-18.480 -8.160 -7.020 21.386 1.937
-19.140 -5.940 -8.100 21.616 1.937
-19.140 -5.940 -8.100 21.616 1.791
-20.820 -3.180 -8.100 22.565 1.791
-20.820 -3.180 -8.100 22.565 1.769
-22.500 -1.800 -7.200 23.692 1.769
-22.500 -1.800 -7.200 23.692 1.594
-24.480 -1.260 -6.060 25.250 1.562
-24.480 -1.260 -6.060 25.250 1.562
-26.400 -2.040 -4.980 26.943 1.656
-26.400 -2.040 -4.980 26.943 1.656
-27.960 -4.500 -3.240 28.505 1.702
-27.960 -4.500 -3.240 28.505 1.702
-29.940 -6.900 -1.020 30.742 1.712
-29.940 -6.900 -1.020 30.742 1.712
-32.280 -9.060 .660 33.534 1.799
-32.280 -9.060 .660 33.534 1.841
-34.200 -10.560 3.120 35.929 1.841
-34.200 -10.560 3.120 35.929 1.872
-36.540 -11.580 5.400 38.710 1.872
-36.540 -11.580 5.400 38.710 1.925
-38.820 -12.000 7.080 41.245 1.925
-38.820 -12.000 7.080 41.245 1.901
-40.620 -11.880 10.680 43.648 1.901
-40.620 -11.880 10.680 43.648 1.892
-43.200 -11.280 13.500 46.645 1.854
-43.200 -11.280 13.500 46.645 1.854
-44.520 -11.040 15.720 48.487 1.824
-44.520 -11.040 15.720 48.487 1.824
-44.880 -11.460 17.280 49.438 1.859
-44.880 -11.460 17.280 49.438 1.859
-44.460 -12.840 16.320 49.070 1.859
-44.460 -12.840 16.320 49.070 1.925
-43.080 -14.820 14.880 47.926 1.887
-43.080 -14.820 14.880 47.926 1.928
-42.120 -16.200 13.080 46.985 1.928
-42.120 -16.200 13.080 46.985 1.963
-40.860 -16.800 10.920 45.509 1.963
-40.860 -16.800 10.920 45.509 1.963
-38.700 -16.380 8.940 42.964 1.963
-38.700 -16.380 8.940 42.964 1.994
-36.360 -15.360 6.900 40.070 1.971
-36.360 -15.360 6.900 40.070 1.971
-33.300 -14.160 5.340 36.577 1.983
-33.300 -14.160 5.340 36.577 1.983
-31.020 -13.320 4.200 34.019 1.981
-31.020 -13.320 4.200 34.019 1.981
-29.760 -12.000 3.960 32.332 1.968
-29.760 -12.000 3.960 32.332 1.968
-28.500 -10.860 3.840 30.740 1.952
-28.500 -10.860 3.840 30.740 1.939
-27.240 -10.080 3.480 29.253 1.939
-27.240 -10.080 3.480 29.253 1.925
-25.620 -8.820 3.180 27.282 1.925
-25.620 -8.820 3.180 27.282 1.902
-23.940 -8.100 2.520 25.399 1.902
-23.940 -8.100 2.520 25.399 1.898
-22.560 -6.900 2.100 23.685 1.898
-22.560 -6.900 2.100 23.685 1.864
-22.020 -5.520 1.500 22.751 1.816
-22.020 -5.520 1.500 22.751 1.816
-20.940 -4.860 1.320 21.537 1.793
-20.940 -4.860 1.320 21.537 1.793
-19.380 -4.080 1.440 19.857 1.771
-19.380 -4.080 1.440 19.857 1.771
-17.520 -3.900 1.500 18.011 1.814
-17.520 -3.900 1.500 18.011 1.814
-15.000 -4.500 1.440 15.727 1.791
-15.000 -4.500 1.440 15.727 1.869
-12.960 -5.100 .480 13.936 1.869
-12.960 -5.100 .480 13.936 1.906
-11.220 -5.580 -1.500 12.620 1.906
-11.220 -5.580 -1.500 12.620 2.017
-9.060 -6.240 -4.500 11.886 2.017
-9.060 -6.240 -4.500 11.886 2.094
-6.900 -6.300 -7.380 11.906 2.094
-6.900 -6.300 -7.380 11.906 2.159
-4.020 -6.120 -11.520 13.650 2.424
-4.020 -6.120 -11.520 13.650 2.424
-.780 -6.480 -15.300 16.634 3.089
-.780 -6.480 -15.300 16.634 3.089
1.440 -7.200 -18.960 20.332 -2.726
1.440 -7.200 -18.960 20.332 -2.726
3.900 -8.520 -23.040 24.873 -2.267
3.900 -8.520 -23.040 24.873 -2.267
6.360 -10.440 -25.560 28.333 -2.192
6.360 -10.440 -25.560 28.333 -2.279
8.280 -12.660 -27.780 31.632 -2.279
8.280 -12.660 -27.780 31.632 -2.582
10.260 -15.660 -29.520 34.956 -2.582
10.260 -15.660 -29.520 34.956 -2.273
10.740 -19.380 -29.700 37.054 -2.273
10.740 -19.380 -29.700 37.054 -2.564
9.960 -22.920 -28.980 38.267 -2.564
9.960 -22.920 -28.980 38.267 -2.575
8.940 -26.280 -26.520 38.391 -2.722
8.940 -26.280 -26.520 38.391 -2.722
6.420 -28.980 -23.040 37.575 -2.852
6.420 -28.980 -23.040 37.575 -2.852
4.800 -30.120 -19.560 36.233 -3.047
4.800 -30.120 -19.560 36.233 -3.047
2.640 -31.260 -15.840 35.143 -3.016
2.640 -31.260 -15.840 35.143 -3.016
-1.260 -31.980 -12.600 34.396 -3.085
-1.260 -31.980 -12.600 34.396 -3.114
-3.420 -32.100 -9.480 33.645 -3.114
-3.420 -32.100 -9.480 33.645 3.069
