X Y Z F A
-9.900 -22.620 -12.960 27.886 2.656
-9.780 -22.680 -13.260 28.033 2.638
-9.780 -22.680 -13.260 28.033 2.638
-9.540 -22.260 -13.800 27.874 2.683
-9.540 -22.260 -13.800 27.874 2.672
-9.120 -22.320 -15.000 28.396 2.672
-9.120 -22.320 -15.000 28.396 2.664
-7.860 -22.260 -16.080 28.563 2.664
-7.860 -22.260 -16.080 28.563 2.768
-6.780 -22.740 -17.520 29.496 2.768
-6.780 -22.740 -17.520 29.496 2.875
-5.820 -24.120 -19.320 31.447 2.875
-5.820 -24.120 -19.320 31.447 2.814
-5.100 -25.440 -20.520 33.080 2.829
-5.100 -25.440 -20.520 33.080 2.829
-4.980 -26.280 -23.160 35.381 2.923
-4.980 -26.280 -23.160 35.381 2.923
-4.380 -27.000 -25.620 37.478 2.998
-4.380 -27.000 -25.620 37.478 2.998
-3.780 -27.420 -27.900 39.301 2.973
-3.780 -27.420 -27.900 39.301 3.035
-2.820 -27.060 -31.200 41.396 3.035
-2.820 -27.060 -31.200 41.396 2.902
-2.520 -26.100 -33.660 42.668 2.902
-2.520 -26.100 -33.660 42.668 2.930
-2.760 -25.080 -36.000 43.962 2.930
-2.760 -25.080 -36.000 43.962 2.987
-3.120 -22.740 -38.520 44.840 3.032
-3.120 -22.740 -38.520 44.840 3.032
-4.380 -20.400 -40.380 45.452 2.853
-4.380 -20.400 -40.380 45.452 2.853
-4.860 -18.720 -41.820 46.076 3.096
-4.860 -18.720 -41.820 46.076 3.096
-5.460 -16.620 -42.960 46.385 2.733
-5.460 -16.620 -42.960 46.385 2.733
-6.600 -15.180 -43.080 46.151 2.869
-6.600 -15.180 -43.080 46.151 2.510
-7.740 -15.000 -43.800 46.940 2.510
-7.740 -15.000 -43.800 46.940 2.501
-9.840 -15.180 -43.980 47.555 2.501
-9.840 -15.180 -43.980 47.555 -3.070
-12.000 -16.620 -43.560 48.142 -3.070
-12.000 -16.620 -43.560 48.142 2.089
-13.440 -18.720 -42.660 48.487 2.089
-13.440 -18.720 -42.660 48.487 2.345
-14.880 -20.760 -40.980 48.288 2.555
-14.880 -20.760 -40.980 48.288 2.555
-16.860 -22.980 -39.360 48.596 2.436
-16.860 -22.980 -39.360 48.596 2.436
-18.360 -24.540 -37.680 48.570 2.360
-18.360 -24.540 -37.680 48.570 2.360
-21.180 -26.220 -36.000 49.316 2.646
-21.180 -26.220 -36.000 49.316 2.646
-23.400 -26.640 -33.600 48.849 2.523
-23.400 -26.640 -33.600 48.849 2.379
-24.840 -26.940 -31.080 48.050 2.379
-24.840 -26.940 -31.080 48.050 2.285
-26.280 -26.820 -28.740 47.286 2.285
-26.280 -26.820 -28.740 47.286 2.355
-27.240 -26.640 -27.120 46.768 2.355
-27.240 -26.640 -27.120 46.768 2.253
-27.660 -26.760 -25.920 46.401 2.253
-27.660 -26.760 -25.920 46.401 2.296
-28.080 -26.880 -26.220 46.888 2.534
-28.080 -26.880 -26.220 46.888 2.534
-27.780 -27.960 -26.940 47.742 2.234
-27.780 -27.960 -26.940 47.742 2.234
-26.760 -29.820 -27.960 48.858 2.265
-26.760 -29.820 -27.960 48.858 2.265
-25.440 -31.620 -30.120 50.539 2.489
-25.440 -31.620 -30.120 50.539 2.489
-23.400 -32.580 -31.680 51.114 2.456
-23.400 -32.580 -31.680 51.114 2.425
-21.600 -32.760 -32.700 51.079 2.425
-21.600 -32.760 -32.700 51.079 2.442
-19.560 -31.380 -34.140 50.327 2.442
-19.560 -31.380 -34.140 50.327 2.713
-17.640 -29.820 -34.500 48.894 2.713
-17.640 -29.820 -34.500 48.894 2.570
-15.660 -29.220 -33.780 47.330 2.570
-15.660 -29.220 -33.780 47.330 2.619
-13.560 -28.140 -34.080 46.230 2.668
-13.560 -28.140 -34.080 46.230 2.668
-11.700 -27.000 -34.020 44.981 2.650
-11.700 -27.000 -34.020 44.981 2.650
-10.260 -26.340 -33.780 44.047 2.617
-10.260 -26.340 -33.780 44.047 2.617
-9.060 -24.840 -34.920 43.801 2.804
-9.060 -24.840 -34.920 43.801 2.827
-8.040 -23.820 -35.220 43.272 2.827
-8.040 -23.820 -35.220 43.272 2.899
-6.960 -23.040 -35.520 42.906 2.899
-6.960 -23.040 -35.520 42.906 2.802
-5.100 -21.840 -36.060 42.466 2.802
-5.100 -21.840 -36.060 42.466 2.839
-3.780 -20.880 -35.940 41.737 2.900
-3.780 -20.880 -35.940 41.737 2.900
-2.460 -20.040 -36.060 41.328 2.965
-2.460 -20.040 -36.060 41.328 2.965
-.960 -19.620 -35.700 40.747 -3.034
-.960 -19.620 -35.700 40.747 -3.034
.600 -19.380 -35.760 40.678 -3.061
.600 -19.380 -35.760 40.678 -3.061
2.880 -19.140 -36.060 40.926 -3.062
2.880 -19.140 -36.060 40.926 -3.062
5.160 -19.080 -37.080 42.019 3.045
5.160 -19.080 -37.080 42.019 -2.547
7.440 -19.800 -38.760 44.156 -2.547
7.440 -19.800 -38.760 44.156 -2.657
9.060 -19.440 -40.560 45.881 -2.657
9.060 -19.440 -40.560 45.881 -2.846
10.620 -19.860 -43.140 48.665 -2.846
10.620 -19.860 -43.140 48.665 -2.647
12.000 -20.880 -45.600 51.569 -2.296
12.000 -20.880 -45.600 51.569 -2.296
14.160 -20.460 -48.780 54.760 -2.410
14.160 -20.460 -48.780 54.760 -2.410
16.800 -20.160 -52.320 58.532 -2.495
16.800 -20.160 -52.320 58.532 -2.495
19.440 -21.060 -55.800 62.730 -2.255
19.440 -21.060 -55.800 62.730 -2.255
22.260 -21.000 -60.060 67.407 -2.254
22.260 -21.000 -60.060 67.407 -2.326
24.240 -22.560 -63.900 71.970 -2.326
24.240 -22.560 -63.900 71.970 -1.956
25.200 -26.760 -65.940 75.493 -1.956
25.200 -26.760 -65.940 75.493 -2.157
26.160 -29.220 -68.100 78.586 -2.157
26.160 -29.220 -68.100 78.586 -2.504
27.060 -31.980 -69.180 80.875 -2.423
27.060 -31.980 -69.180 80.875 -2.423
26.460 -36.000 -67.980 81.347 -2.415
26.460 -36.000 -67.980 81.347 -2.415
25.740 -38.280 -67.800 82.005 -2.431
25.740 -38.280 -67.800 82.005 -2.431
24.060 -41.160 -65.940 81.370 -2.674
24.060 -41.160 -65.940 81.370 -2.674
21.960 -44.460 -62.460 79.751 -2.531
21.960 -44.460 -62.460 79.751 -2.531
20.580 -45.480 -60.060 78.097 -2.611
20.580 -45.480 -60.060 78.097 -2.875
19.200 -46.440 -56.940 75.944 -2.875
19.200 -46.440 -56.940 75.944 -2.647
17.520 -46.680 -53.580 73.190 -2.647
15.060 -46.320 -51.480 70.870 -2.763
15.060 -46.320 -51.480 70.870 -2.763
15.060 -46.320 -51.480 70.870 -2.754
12.960 -45.600 -49.140 68.279 -2.826
12.960 -45.600 -49.140 68.279 -2.826
10.620 -44.880 -47.220 66.006 -2.827
10.620 -44.880 -47.220 66.006 -2.827
9.360 -43.560 -46.140 64.140 -2.959
8.700 -41.640 -44.460 61.533 -2.959
8.700 -41.640 -44.460 61.533 -3.008
8.700 -41.640 -44.460 61.533 -3.008
7.620 -40.620 -43.260 59.829 -2.925
6.780 -39.360 -41.880 57.872 -2.834
6.780 -39.360 -41.880 57.872 -2.834
5.460 -38.760 -40.080 56.023 -2.999
5.460 -38.760 -40.080 56.023 -2.999
4.980 -37.500 -38.940 54.290 -2.919
4.980 -37.500 -38.940 54.290 -2.919
5.400 -35.220 -38.160 52.209 -3.017
5.400 -35.220 -38.160 52.209 3.101
5.820 -33.240 -37.500 50.448 3.101
5.820 -33.240 -37.500 50.448 -2.883
6.720 -31.080 -36.540 48.439 -2.883
6.720 -31.080 -36.540 48.439 -2.868
6.720 -30.120 -35.640 47.144 -2.868
6.720 -30.120 -35.640 47.144 -2.875
5.880 -29.340 -34.800 45.896 -2.875
5.880 -29.340 -34.800 45.896 -2.768
5.760 -28.920 -32.940 44.211 -2.859
5.760 -28.920 -32.940 44.211 -2.859
6.000 -28.500 -31.200 42.681 -2.959
6.000 -28.500 -31.200 42.681 -2.959
6.660 -28.080 -29.280 41.112 -2.954
6.660 -28.080 -29.280 41.112 -2.954
7.620 -28.320 -26.640 39.620 -2.887
7.620 -28.320 -26.640 39.620 -2.887
7.920 -27.900 -24.960 38.264 -2.863
7.920 -27.900 -24.960 38.264 -2.868
7.500 -27.660 -23.100 36.809 -2.868
7.500 -27.660 -23.100 36.809 -2.772
7.380 -27.300 -20.640 35.011 -2.772
7.380 -27.300 -20.640 35.011 -2.891
7.200 -26.220 -18.540 32.910 -2.891
7.200 -26.220 -18.540 32.910 -2.909
7.140 -25.560 -15.660 30.814 -2.909
7.140 -25.560 -15.660 30.814 -2.818
7.320 -24.780 -14.400 29.580 -2.856
7.320 -24.780 -14.400 29.580 -2.856
7.500 -24.060 -14.820 29.236 -2.695
7.500 -24.060 -14.820 29.236 -2.695
7.800 -23.880 -14.820 29.167 -2.772
7.800 -23.880 -14.820 29.167 -2.772
8.580 -23.460 -17.280 30.374 -2.825
8.580 -23.460 -17.280 30.374 -2.825
9.660 -23.100 -19.500 31.736 -2.845
9.660 -23.100 -19.500 31.736 -2.694
10.320 -23.520 -21.240 33.329 -2.694
10.320 -23.520 -21.240 33.329 -2.685
10.680 -23.940 -23.700 35.339 -2.685
10.680 -23.940 -23.700 35.339 -2.752
10.380 -25.020 -25.320 37.079 -2.752
10.380 -25.020 -25.320 37.079 -2.754
10.200 -26.100 -25.980 38.213 -2.673
10.200 -26.100 -25.980 38.213 -2.673
10.380 -26.580 -26.880 39.202 -2.798
10.380 -26.580 -26.880 39.202 -2.798
10.800 -27.600 -27.540 40.458 -2.780
10.800 -27.600 -27.540 40.458 -2.780
11.520 -28.440 -28.140 41.634 -2.734
11.520 -28.440 -28.140 41.634 -2.734
11.340 -29.520 -29.520 43.260 -2.631
11.340 -29.520 -29.520 43.260 -2.704
11.340 -30.600 -30.480 44.654 -2.704
11.340 -30.600 -30.480 44.654 -2.694
11.400 -31.320 -31.320 45.737 -2.694
11.400 -31.320 -31.320 45.737 -2.730
11.460 -31.860 -32.280 46.780 -2.730
