X Y Z F A
-4.920 11.160 53.460 54.834 .000
-4.260 11.400 53.340 54.711 .620
-4.260 11.400 53.340 54.711 .544
-4.260 11.400 53.340 54.711 .544
-3.840 11.700 53.220 54.626 .481
-3.900 11.520 53.340 54.709 .481
-3.900 11.520 53.340 54.709 .545
-4.080 11.160 53.520 54.823 .545
-4.080 11.160 53.520 54.823 .599
-4.260 11.040 53.100 54.403 .599
-4.260 11.040 53.100 54.403 .558
-4.200 10.800 53.040 54.291 .575
-4.200 10.800 53.040 54.291 .572
-4.080 10.620 53.100 54.305 .646
-4.080 10.620 53.100 54.305 .646
-3.540 10.500 52.620 53.774 1.144
-3.540 10.500 52.620 53.774 1.144
-3.480 10.500 52.440 53.594 1.760
-3.480 10.500 52.440 53.594 1.760
-3.120 10.560 52.080 53.231 1.508
-3.120 10.560 52.080 53.231 1.293
-2.640 10.920 51.120 52.340 1.293
-2.640 10.920 51.120 52.340 .555
-2.400 10.680 50.040 51.223 .555
-2.400 10.680 50.040 51.223 .384
-1.740 9.840 48.900 49.911 .384
-1.740 9.840 48.900 49.911 1.002
-1.200 9.000 47.100 47.967 1.002
-1.200 9.000 47.100 47.967 .558
-.420 7.440 45.180 45.790 .945
-.420 7.440 45.180 45.790 .945
1.320 5.820 43.200 43.610 1.841
1.320 5.820 43.200 43.610 1.841
2.640 4.740 41.340 41.695 .438
2.640 4.740 41.340 41.695 .438
3.540 3.480 39.360 39.672 -1.157
3.540 3.480 39.360 39.672 -1.157
4.260 3.120 37.740 38.108 1.095
4.260 3.120 37.740 38.108 -2.101
3.720 3.720 35.400 35.789 -2.101
3.720 3.720 35.400 35.789 -.498
3.540 4.440 32.820 33.308 -.498
3.540 4.440 32.820 33.308 -.815
3.600 5.400 30.780 31.457 -.815
3.600 5.400 30.780 31.457 -1.846
2.940 7.440 28.500 29.601 -.285
2.940 7.440 28.500 29.601 -1.112
2.400 9.300 27.180 28.827 -.375
2.400 9.300 27.180 28.827 -.375
1.260 11.340 26.640 28.981 -.509
1.260 11.340 26.640 28.981 -.509
-.840 13.440 26.580 29.797 .514
-.840 13.440 26.580 29.797 .514
-3.060 13.440 27.420 30.690 .222
-3.060 13.440 27.420 30.690 .728
-4.740 12.600 28.260 31.303 .728
-4.740 12.600 28.260 31.303 .609
-6.840 11.160 29.340 32.127 .609
-6.840 11.160 29.340 32.127 .493
-7.620 8.460 30.720 32.762 .493
-7.620 8.460 30.720 32.762 1.340
-9.000 6.420 31.560 33.440 1.340
-9.000 6.420 31.560 33.440 1.745
-10.800 5.040 33.180 35.256 1.105
-10.800 5.040 33.180 35.256 1.105
-12.960 3.180 35.220 37.663 1.867
-12.960 3.180 35.220 37.663 1.867
-15.540 2.820 37.320 40.524 1.628
-15.540 2.820 37.320 40.524 1.628
-17.160 3.180 39.900 43.550 1.587
-17.160 3.180 39.900 43.550 1.587
-19.380 3.540 42.120 46.500 1.571
-19.380 3.540 42.120 46.500 1.832
-20.820 4.620 44.280 49.148 1.832
-20.820 4.620 44.280 49.148 1.864
-22.260 5.160 45.600 51.005 1.864
-22.260 5.160 45.600 51.005 1.311
-22.680 4.260 46.200 51.643 1.311
-22.680 4.260 46.200 51.643 1.804
-22.560 2.880 45.840 51.172 1.742
-22.560 2.880 45.840 51.172 1.742
-21.660 1.260 44.400 49.418 1.899
-21.660 1.260 44.400 49.418 1.899
-20.100 -.420 42.300 46.835 1.906
-20.100 -.420 42.300 46.835 1.906
-19.020 -.900 40.260 44.536 1.766
-19.020 -.900 40.260 44.536 1.766
-16.980 -1.080 38.700 42.275 1.952
-16.980 -1.080 38.700 42.275 1.952
-14.160 -1.080 37.740 40.323 2.094
-14.160 -1.080 37.740 40.323 2.148
-11.520 -.420 37.500 39.232 2.148
-11.520 -.420 37.500 39.232 1.595
-8.640 -.480 37.500 38.485 1.595
-8.640 -.480 37.500 38.485 2.132
-6.180 .480 37.440 37.950 2.132
-6.180 .480 37.440 37.950 2.336
-5.220 1.980 36.660 37.083 .887
-5.220 1.980 36.660 37.083 .887
-3.660 3.120 36.180 36.498 1.630
-3.660 3.120 36.180 36.498 1.630
-2.400 4.740 35.820 36.212 2.008
-2.400 4.740 35.820 36.212 2.008
-1.500 5.820 34.920 35.433 -2.546
-1.500 5.820 34.920 35.433 -2.546
.600 6.660 34.380 35.024 -1.332
.600 6.660 34.380 35.024 -2.043
1.500 7.800 33.660 34.584 -2.043
1.500 7.800 33.660 34.584 -.361
2.880 9.120 32.880 34.243 -.361
2.880 9.120 32.880 34.243 -1.393
4.800 9.900 32.580 34.388 -1.393
4.800 9.900 32.580 34.388 -.821
6.180 10.620 32.940 35.157 -.821
6.180 10.620 32.940 35.157 -.503
8.580 11.160 32.760 35.656 -.541
8.580 11.160 32.760 35.656 -.541
10.860 11.400 32.340 35.969 -.879
10.860 11.400 32.340 35.969 -.879
12.420 11.820 31.500 35.864 -1.019
12.420 11.820 31.500 35.864 -1.019
14.640 12.480 29.520 35.235 -.554
14.640 12.480 29.520 35.235 -.554
16.860 11.880 27.720 34.551 -1.117
16.860 11.880 27.720 34.551 -1.139
18.720 11.460 25.320 33.509 -1.139
18.720 11.460 25.320 33.509 -1.227
21.720 11.220 22.260 33.063 -1.227
21.720 11.220 22.260 33.063 -1.134
23.760 10.380 18.840 32.050 -1.134
23.760 10.380 18.840 32.050 -1.251
25.200 10.260 14.880 31.012 -1.332
25.200 10.260 14.880 31.012 -1.332
27.600 9.480 10.860 31.138 -1.225
27.600 9.480 10.860 31.138 -1.225
28.980 7.440 7.860 30.935 -1.371
28.980 7.440 7.860 30.935 -1.371
31.020 5.460 5.160 31.917 -1.418
31.020 5.460 5.160 31.917 -1.403
33.540 3.120 2.640 33.788 -1.403
33.540 3.120 2.640 33.788 -1.496
34.560 -.660 1.560 34.601 -1.496
34.560 -.660 1.560 34.601 -1.590
34.080 -3.960 1.320 34.335 -1.590
34.080 -3.960 1.320 34.335 -1.677
31.740 -8.640 1.980 32.954 -1.677
31.740 -8.640 1.980 32.954 -1.866
29.100 -12.720 5.040 32.156 -1.993
29.100 -12.720 5.040 32.156 -1.993
26.880 -14.880 7.920 31.728 -2.050
26.880 -14.880 7.920 31.728 -2.050
25.020 -16.860 11.040 32.127 -2.192
25.020 -16.860 11.040 32.127 -2.192
24.300 -17.760 15.600 33.901 -2.236
24.300 -17.760 15.600 33.901 -2.236
22.500 -18.180 18.480 34.326 -2.277
22.500 -18.180 18.480 34.326 -2.235
20.820 -18.780 22.320 35.838 -2.235
20.820 -18.780 22.320 35.838 -2.358
19.980 -18.420 25.920 37.555 -2.358
19.980 -18.420 25.920 37.555 -2.426
18.840 -16.860 27.660 37.474 -2.426
18.840 -16.860 27.660 37.474 -2.230
18.480 -15.600 29.520 38.162 -2.230
18.480 -15.600 29.520 38.162 -2.411
16.800 -13.920 30.540 37.533 -2.255
16.800 -13.920 30.540 37.533 -2.255
15.780 -12.000 31.080 36.864 -2.648
15.780 -12.000 31.080 36.864 -2.648
15.360 -10.980 31.980 37.138 -2.420
15.360 -10.980 31.980 37.138 -2.420
14.760 -9.180 32.820 37.139 -2.171
14.760 -9.180 32.820 37.139 -2.171
15.180 -7.320 33.240 37.268 -1.971
15.180 -7.320 33.240 37.268 -2.347
14.820 -5.760 34.020 37.552 -2.347
14.820 -5.760 34.020 37.552 -2.032
13.560 -3.840 34.560 37.323 -2.032
13.560 -3.840 34.560 37.323 -1.688
13.200 -2.220 35.760 38.183 -1.688
13.200 -2.220 35.760 38.183 -1.881
12.540 -1.080 37.560 39.613 -1.881
12.540 -1.080 37.560 39.613 -2.068
12.900 -.060 39.120 41.192 -1.955
12.900 -.060 39.120 41.192 -1.955
13.380 .540 41.220 43.341 -1.804
13.380 .540 41.220 43.341 -1.804
12.660 1.020 43.320 45.144 -2.142
12.660 1.020 43.320 45.144 -2.142
12.420 1.200 44.340 46.062 -1.840
12.420 1.200 44.340 46.062 -1.840
11.820 1.560 46.080 47.597 -2.382
