X Y Z F A
-18.420 3.360 30.420 35.721 .000
-18.780 3.420 30.360 35.862 1.522
-18.780 3.420 30.360 35.862 1.619
-18.720 3.720 30.660 36.115 1.619
-18.720 3.720 30.660 36.115 1.611
-18.780 3.960 30.420 35.969 1.611
-18.780 3.960 30.420 35.969 1.669
-18.000 4.020 29.820 35.063 1.669
-18.000 4.020 29.820 35.063 1.645
-17.040 3.960 29.160 34.005 1.645
-17.040 3.960 29.160 34.005 1.449
-16.500 3.180 27.780 32.467 1.687
-16.500 3.180 27.780 32.467 1.687
-15.480 2.160 26.280 30.577 1.786
-15.480 2.160 26.280 30.577 1.786
-14.760 .840 24.900 28.958 1.635
-14.760 .840 24.900 28.958 1.635
-13.800 -.420 23.220 27.015 1.372
-13.800 -.420 23.220 27.015 1.881
-12.840 -1.440 21.180 24.810 1.881
-12.840 -1.440 21.180 24.810 1.970
-12.480 -2.160 19.500 23.252 1.970
-12.480 -2.160 19.500 23.252 1.619
-12.600 -2.760 17.400 21.660 1.619
-12.600 -2.760 17.400 21.660 2.090
-11.880 -3.780 15.420 19.829 2.090
-11.880 -3.780 15.420 19.829 2.024
-11.160 -3.840 12.900 17.484 2.024
-11.160 -3.840 12.900 17.484 2.161
-10.500 -3.600 10.560 15.321 2.121
-10.500 -3.600 10.560 15.321 2.121
-9.540 -2.640 8.280 12.905 2.020
-9.540 -2.640 8.280 12.905 2.020
-10.080 .300 5.460 11.468 1.919
-10.080 .300 5.460 11.468 1.919
-11.160 2.700 4.620 12.377 1.549
-11.160 2.700 4.620 12.377 1.440
-12.360 4.740 3.660 13.734 1.440
-12.360 4.740 3.660 13.734 1.268
-13.980 6.060 3.240 15.578 1.268
-13.980 6.060 3.240 15.578 1.132
-15.360 5.640 4.200 16.893 1.132
-15.360 5.640 4.200 16.893 1.254
-16.860 4.260 4.620 17.993 1.375
-16.860 4.260 4.620 17.993 1.417
-19.080 2.940 5.160 19.983 1.405
-19.080 2.940 5.160 19.983 1.405
-21.360 .480 6.720 22.397 1.596
-21.360 .480 6.720 22.397 1.596
-24.060 -1.560 8.820 25.673 1.710
-24.060 -1.560 8.820 25.673 1.710
-26.280 -3.060 10.740 28.554 1.722
-26.280 -3.060 10.740 28.554 1.722
-28.380 -4.440 13.500 31.739 1.848
-28.380 -4.440 13.500 31.739 1.846
-30.660 -4.740 16.080 34.944 1.846
-30.660 -4.740 16.080 34.944 1.778
-32.940 -4.320 17.940 37.756 1.778
-32.940 -4.320 17.940 37.756 1.682
-35.040 -3.660 20.520 40.771 1.682
-35.040 -3.660 20.520 40.771 1.778
-36.180 -3.600 22.320 42.663 1.778
-36.180 -3.600 22.320 42.663 1.745
-36.840 -3.480 22.680 43.401 1.726
-36.840 -3.480 22.680 43.401 1.726
-36.540 -4.440 21.540 42.648 1.781
-36.540 -4.440 21.540 42.648 1.781
-36.120 -5.640 20.220 41.777 1.773
-36.120 -5.640 20.220 41.777 1.773
-34.800 -6.480 17.520 39.497 1.747
-34.800 -6.480 17.520 39.497 1.849
-32.820 -7.980 15.600 37.205 1.849
-32.820 -7.980 15.600 37.205 1.891
-30.480 -8.220 14.880 34.900 1.891
-30.480 -8.220 14.880 34.900 1.806
-27.480 -7.860 13.380 31.559 1.806
-27.480 -7.860 13.380 31.559 1.901
-25.080 -7.260 13.440 29.366 1.974
-25.080 -7.260 13.440 29.366 1.974
-23.280 -5.220 13.860 27.592 1.722
-23.280 -5.220 13.860 27.592 1.722
-21.480 -4.200 13.800 25.874 1.817
-21.480 -4.200 13.800 25.874 1.817
-20.160 -3.360 13.500 24.494 1.839
-20.160 -3.360 13.500 24.494 1.839
-18.480 -2.280 12.900 22.652 1.672
-18.480 -2.280 12.900 22.652 1.637
-16.500 -1.560 11.520 20.184 1.814
-16.500 -1.560 11.520 20.184 1.809
-15.480 -.480 10.500 18.711 1.809
-15.480 -.480 10.500 18.711 1.761
-14.100 .780 9.780 17.178 1.761
-14.100 .780 9.780 17.178 1.568
-12.540 2.100 9.360 15.788 1.568
-12.540 2.100 9.360 15.788 1.533
-10.920 2.940 9.300 14.642 1.533
-10.920 2.940 9.300 14.642 1.451
-8.520 3.480 9.240 13.041 1.267
-8.520 3.480 9.240 13.041 1.267
-5.940 3.960 9.180 11.629 1.168
-5.940 3.960 9.180 11.629 1.168
-3.780 4.020 8.220 9.900 .900
-3.780 4.020 8.220 9.900 .900
