X Y Z F A
-8.280 -42.120 6.660 43.440 2.956
-6.660 -42.900 5.580 43.771 2.956
-6.660 -42.900 5.580 43.771 3.001
-4.920 -43.560 4.260 44.043 3.001
-4.920 -43.560 4.260 44.043 3.027
-2.760 -44.040 3.000 44.228 3.027
-2.760 -44.040 3.000 44.228 3.080
-1.080 -45.060 2.040 45.119 3.080
-1.080 -45.060 2.040 45.119 3.116
.900 -45.960 .780 45.975 -3.121
.900 -45.960 .780 45.975 -3.121
2.820 -47.640 -1.140 47.737 -3.080
2.820 -47.640 -1.140 47.737 -3.080
4.500 -49.020 -2.580 49.294 -3.086
4.500 -49.020 -2.580 49.294 -3.086
5.460 -50.700 -4.800 51.219 -3.046
5.460 -50.700 -4.800 51.219 -3.046
5.100 -51.720 -7.080 52.451 -3.029
5.100 -51.720 -7.080 52.451 -3.052
4.680 -51.720 -9.240 52.747 -3.052
4.680 -51.720 -9.240 52.747 -3.040
4.200 -51.300 -12.660 53.006 -3.040
4.200 -51.300 -12.660 53.006 -3.052
4.140 -49.380 -15.360 51.879 -3.052
4.140 -49.380 -15.360 51.879 -3.073
4.320 -46.980 -18.120 50.538 -3.073
4.320 -46.980 -18.120 50.538 -3.037
4.200 -43.980 -20.460 48.688 -3.041
4.200 -43.980 -20.460 48.688 -3.041
3.420 -41.280 -22.080 46.939 -3.038
3.420 -41.280 -22.080 46.939 -3.038
2.280 -39.000 -23.280 45.477 -3.051
2.280 -39.000 -23.280 45.477 -3.051
1.080 -37.800 -23.760 44.660 3.139
1.080 -37.800 -23.760 44.660 3.109
-.540 -38.760 -23.100 45.125 -3.105
-.540 -38.760 -23.100 45.125 3.100
-2.460 -40.440 -22.140 46.170 3.100
-2.460 -40.440 -22.140 46.170 3.086
-4.500 -42.540 -21.000 47.654 3.086
-4.500 -42.540 -21.000 47.654 3.036
-6.540 -45.420 -19.440 49.836 3.036
-6.540 -45.420 -19.440 49.836 2.993
-7.980 -47.340 -17.760 51.188 2.993
-7.980 -47.340 -17.760 51.188 2.949
-9.600 -49.020 -15.780 52.384 2.954
-9.600 -49.020 -15.780 52.384 2.954
-11.400 -50.760 -13.560 53.763 2.941
-11.400 -50.760 -13.560 53.763 2.941
-14.040 -50.880 -10.920 53.899 2.911
-14.040 -50.880 -10.920 53.899 2.911
-16.680 -50.160 -8.700 53.572 2.829
-16.680 -50.160 -8.700 53.572 2.829
-18.840 -49.560 -6.840 53.460 2.799
-18.840 -49.560 -6.840 53.460 2.757
-20.280 -48.780 -5.220 53.085 2.757
-20.280 -48.780 -5.220 53.085 2.741
-20.880 -49.020 -4.560 53.476 2.741
-20.880 -49.020 -4.560 53.476 2.723
-21.000 -49.980 -4.800 54.425 2.723
-21.000 -49.980 -4.800 54.425 2.711
-20.580 -51.420 -5.460 55.654 2.711
-20.580 -51.420 -5.460 55.654 2.762
-19.920 -52.860 -6.480 56.859 2.759
-19.920 -52.860 -6.480 56.859 2.759
-18.300 -54.120 -8.040 57.693 2.815
-18.300 -54.120 -8.040 57.693 2.815
-16.140 -54.780 -9.840 57.950 2.806
-16.140 -54.780 -9.840 57.950 2.806
-13.140 -54.660 -10.920 57.268 2.834
-13.140 -54.660 -10.920 57.268 2.834
-9.960 -54.480 -11.280 56.520 2.903
-9.960 -54.480 -11.280 56.520 2.963
-7.560 -53.220 -11.460 54.962 2.963
-7.560 -53.220 -11.460 54.962 2.996
-6.120 -52.320 -10.860 53.785 2.996
-6.120 -52.320 -10.860 53.785 3.034
-4.740 -51.600 -10.320 52.835 3.034
-4.740 -51.600 -10.320 52.835 3.041
-3.780 -50.700 -10.800 51.975 3.073
-3.780 -50.700 -10.800 51.975 3.073
-1.980 -50.400 -11.100 51.646 3.096
-1.980 -50.400 -11.100 51.646 3.096
-.420 -49.620 -11.760 50.996 3.084
-.420 -49.620 -11.760 50.996 3.084
.480 -47.760 -13.140 49.537 3.126
.480 -47.760 -13.140 49.537 3.126
1.740 -46.140 -14.280 48.331 3.113
1.740 -46.140 -14.280 48.331 3.113
2.700 -44.820 -14.700 47.246 -3.086
2.700 -44.820 -14.700 47.246 -3.080
4.620 -43.260 -14.880 45.980 -3.080
4.620 -43.260 -14.880 45.980 -3.052
6.960 -42.180 -14.640 45.188 -3.052
6.960 -42.180 -14.640 45.188 -2.981
9.300 -41.820 -14.880 45.352 -2.981
9.300 -41.820 -14.880 45.352 -2.875
11.460 -41.100 -15.660 45.451 -2.814
11.460 -41.100 -15.660 45.451 -2.814
13.620 -41.580 -17.280 47.043 -2.825
13.620 -41.580 -17.280 47.043 -2.825
16.140 -42.600 -19.140 49.413 -2.690
16.140 -42.600 -19.140 49.413 -2.690
19.440 -43.200 -20.760 51.722 -2.792
19.440 -43.200 -20.760 51.722 -2.792
24.180 -43.200 -23.520 54.810 -2.797
24.180 -43.200 -23.520 54.810 -2.569
26.940 -44.340 -26.040 58.051 -2.569
26.940 -44.340 -26.040 58.051 -2.506
26.940 -45.180 -30.540 60.825 -2.506
26.940 -45.180 -30.540 60.825 -2.555
27.360 -45.960 -35.700 64.307 -2.555
27.360 -45.960 -35.700 64.307 -2.520
27.780 -48.360 -39.180 68.158 -2.520
27.780 -48.360 -39.180 68.158 -2.383
30.540 -50.640 -41.760 72.395 -2.524
30.540 -50.640 -41.760 72.395 -2.524
35.040 -54.180 -42.720 77.384 -2.501
35.040 -54.180 -42.720 77.384 -2.501
37.320 -58.140 -42.480 81.102 -2.483
37.320 -58.140 -42.480 81.102 -2.483
36.420 -63.000 -42.060 84.050 -2.417
36.420 -63.000 -42.060 84.050 -2.417
33.840 -66.720 -41.340 85.473 -2.524
33.840 -66.720 -41.340 85.473 -2.565
31.740 -69.000 -39.720 85.709 -2.565
31.740 -69.000 -39.720 85.709 -2.661
29.700 -71.520 -36.900 85.784 -2.661
29.700 -71.520 -36.900 85.784 -2.717
28.440 -72.240 -33.900 84.715 -2.717
28.440 -72.240 -33.900 84.715 -2.722
25.980 -72.120 -31.380 82.831 -2.722
25.980 -72.120 -31.380 82.831 -2.769
22.860 -72.900 -28.380 81.501 -2.803
22.860 -72.900 -28.380 81.501 -2.803
20.220 -72.120 -26.040 79.298 -2.838
20.220 -72.120 -26.040 79.298 -2.838
17.880 -70.740 -24.180 76.867 -2.838
17.880 -70.740 -24.180 76.867 -2.838
17.040 -69.900 -22.140 75.276 -2.897
17.040 -69.900 -22.140 75.276 -2.897
16.260 -67.800 -20.820 72.765 -2.904
16.260 -67.800 -20.820 72.765 -2.895
15.360 -66.240 -19.200 70.656 -2.895
15.360 -66.240 -19.200 70.656 -2.883
14.640 -65.220 -17.700 69.147 -2.883
14.640 -65.220 -17.700 69.147 -2.899
14.880 -63.240 -16.740 67.089 -2.899
14.880 -63.240 -16.740 67.089 -2.875
15.540 -61.380 -15.420 65.167 -2.887
15.540 -61.380 -15.420 65.167 -2.887
15.840 -59.400 -14.880 63.251 -2.866
15.840 -59.400 -14.880 63.251 -2.866
15.900 -56.880 -13.860 60.665 -2.853
15.900 -56.880 -13.860 60.665 -2.853
14.700 -55.560 -13.080 58.941 -2.815
14.700 -55.560 -13.080 58.941 -2.815
14.040 -54.420 -11.880 57.444 -2.879
14.040 -54.420 -11.880 57.444 -2.880
14.340 -52.920 -10.140 55.758 -2.880
14.340 -52.920 -10.140 55.758 -2.878
15.300 -52.080 -8.520 54.945 -2.878
15.300 -52.080 -8.520 54.945 -2.866
16.680 -50.940 -6.420 53.984 -2.866
16.680 -50.940 -6.420 53.984 -2.817
16.560 -50.100 -4.860 52.989 -2.817
16.560 -50.100 -4.860 52.989 -2.826
16.260 -50.160 -3.060 52.818 -2.826
16.260 -50.160 -3.060 52.818 -2.826
15.780 -49.680 -.960 52.135 -2.828
15.780 -49.680 -.960 52.135 -2.828
15.840 -48.480 1.740 51.032 -2.824
15.840 -48.480 1.740 51.032 -2.824
16.140 -47.640 4.380 50.490 -2.825
16.140 -47.640 4.380 50.490 -2.813
16.320 -46.740 6.840 49.978 -2.813
16.320 -46.740 6.840 49.978 -2.810
15.600 -45.720 8.700 49.085 -2.810
15.600 -45.720 8.700 49.085 -2.818
15.060 -45.840 9.180 49.116 -2.818
15.060 -45.840 9.180 49.116 -2.829
14.880 -45.480 8.940 48.680 -2.829
14.880 -45.480 8.940 48.680 -2.828
15.420 -45.360 7.620 48.512 -2.828
15.420 -45.360 7.620 48.512 -2.831
16.260 -46.080 5.520 49.175 -2.807
16.260 -46.080 5.520 49.175 -2.807
16.740 -46.860 3.360 49.874 -2.802
16.740 -46.860 3.360 49.874 -2.802
16.740 -48.540 1.440 51.366 -2.823
16.740 -48.540 1.440 51.366 -2.823
16.620 -50.400 .060 53.070 -2.810
16.620 -50.400 .060 53.070 -2.817
17.220 -51.780 -1.080 54.579 -2.817
17.220 -51.780 -1.080 54.579 -2.802
18.180 -53.340 -1.500 56.373 -2.802
18.180 -53.340 -1.500 56.373 -2.813
19.320 -54.720 -1.800 58.058 -2.813
19.320 -54.720 -1.800 58.058 -2.790
19.980 -55.260 -2.700 58.823 -2.790
19.980 -55.260 -2.700 58.823 -2.783
20.280 -56.700 -3.720 60.332 -2.791
20.280 -56.700 -3.720 60.332 -2.791
20.160 -57.720 -4.680 61.318 -2.786
20.160 -57.720 -4.680 61.318 -2.786
21.120 -58.260 -5.940 62.254 -2.781
21.120 -58.260 -5.940 62.254 -2.781
21.660 -59.160 -6.720 63.358 -2.809
21.660 -59.160 -6.720 63.358 -2.809
21.600 -59.280 -6.780 63.456 -2.769
21.600 -59.280 -6.780 63.456 -2.786
21.240 -59.820 -7.320 63.900 -2.786
21.240 -59.820 -7.320 63.900 -2.795
19.620 -60.300 -6.960 63.792 -2.795
19.620 -60.300 -6.960 63.792 -2.799
18.840 -60.300 -6.660 63.525 -2.799
18.300 -60.600 -5.460 63.538 -2.819
18.300 -60.600 -5.460 63.538 -2.843
17.340 -60.840 -3.240 63.346 -2.843
17.340 -60.840 -3.240 63.346 -2.848
16.260 -60.960 -2.040 63.124 -2.848
16.260 -60.960 -2.040 63.124 -2.882
14.580 -61.500 .540 63.207 -2.882
14.580 -61.500 .540 63.207 -2.913
12.660 -61.740 1.560 63.044 -2.913
12.660 -61.740 1.560 63.044 -2.931
12.120 -61.080 2.460 62.319 -2.943
12.120 -61.080 2.460 62.319 -2.943
12.060 -60.120 4.680 61.496 -2.943
12.060 -60.120 4.680 61.496 -2.943
11.280 -58.560 5.700 59.908 -2.941
11.280 -58.560 5.700 59.908 -2.941
10.080 -56.220 7.380 57.591 -2.947
10.080 -56.220 7.380 57.591 -2.947
8.880 -53.100 8.400 54.489 -2.964
8.880 -53.100 8.400 54.489 -2.971
8.160 -49.620 8.400 50.983 -2.971
8.160 -49.620 8.400 50.983 -2.985
8.040 -46.380 8.160 47.774 -2.985
8.040 -46.380 8.160 47.774 -2.957
8.880 -43.560 8.100 45.188 -2.957
8.880 -43.560 8.100 45.188 -2.953
9.240 -41.760 7.440 43.412 -2.953
9.240 -41.760 7.440 43.412 -2.909
9.240 -40.680 7.020 42.303 -2.941
9.240 -40.680 7.020 42.303 -2.941
9.300 -40.440 7.020 42.085 -2.943
9.300 -40.440 7.020 42.085 -2.943
9.540 -40.920 6.900 42.580 -2.916
9.540 -40.920 6.900 42.580 -2.916
9.660 -42.420 7.680 44.179 -2.923
9.660 -42.420 7.680 44.179 -2.923
9.660 -44.520 8.220 46.292 -2.924
9.660 -44.520 8.220 46.292 -2.943
9.360 -46.800 8.640 48.503 -2.943
9.360 -46.800 8.640 48.503 -3.021
9.120 -49.440 9.480 51.160 -3.021
9.120 -49.440 9.480 51.160 -2.972
9.360 -51.960 9.660 53.673 -2.972
9.360 -51.960 9.660 53.673 -2.956
10.560 -54.000 9.960 55.917 -2.943
10.560 -54.000 9.960 55.917 -2.943
12.240 -56.280 9.960 58.450 -2.934
12.240 -56.280 9.960 58.450 -2.934
13.620 -57.960 9.060 60.224 -2.925
13.620 -57.960 9.060 60.224 -2.925
14.460 -59.400 8.340 61.701 -2.928
14.460 -59.400 8.340 61.701 -2.928
15.000 -60.780 7.740 63.080 -2.908
15.000 -60.780 7.740 63.080 -2.899
16.800 -61.080 6.180 63.649 -2.899
16.800 -61.080 6.180 63.649 -2.869
18.960 -61.260 4.920 64.315 -2.869
18.960 -61.260 4.920 64.315 -2.837
21.000 -60.660 3.660 64.296 -2.837
21.000 -60.660 3.660 64.296 -2.803
22.980 -59.460 2.280 63.787 -2.803
22.980 -59.460 2.280 63.787 -2.768
24.300 -58.320 2.040 63.213 -2.750
24.300 -58.320 2.040 63.213 -2.750
25.920 -56.880 1.860 62.535 -2.706
25.920 -56.880 1.860 62.535 -2.706
28.380 -55.440 2.340 62.326 -2.713
28.380 -55.440 2.340 62.326 -2.713
30.960 -54.240 3.540 62.554 -2.667
30.960 -54.240 3.540 62.554 -2.667
33.780 -52.200 4.980 62.376 -2.610
33.780 -52.200 4.980 62.376 -2.562
35.760 -50.940 6.300 62.557 -2.562
35.760 -50.940 6.300 62.557 -2.525
37.380 -49.800 6.720 62.630 -2.525
37.380 -49.800 6.720 62.630 -2.495
38.640 -48.000 6.840 61.999 -2.495
38.640 -48.000 6.840 61.999 -2.486
39.660 -47.040 6.720 61.894 -2.443
39.660 -47.040 6.720 61.894 -2.443
39.660 -46.320 5.640 61.239 -2.453
39.660 -46.320 5.640 61.239 -2.453
38.820 -45.960 5.040 60.371 -2.445
38.820 -45.960 5.040 60.371 -2.445
37.320 -46.440 3.900 59.705 -2.434
37.320 -46.440 3.900 59.705 -2.434
35.160 -46.860 1.740 58.610 -2.459
35.160 -46.860 1.740 58.610 -2.494
34.440 -46.200 .660 57.628 -2.494
34.440 -46.200 .660 57.628 -2.501
33.540 -46.140 -.360 57.043 -2.501
33.540 -46.140 -.360 57.043 -2.495
32.640 -45.540 -1.800 56.058 -2.495
32.640 -45.540 -1.800 56.058 -2.515
30.900 -45.780 -2.460 55.287 -2.515
30.900 -45.780 -2.460 55.287 -2.546
29.160 -46.320 -2.940 54.813 -2.559
29.160 -46.320 -2.940 54.813 -2.559
28.320 -46.380 -4.260 54.509 -2.585
28.320 -46.380 -4.260 54.509 -2.585
28.020 -46.500 -5.040 54.523 -2.617
28.020 -46.500 -5.040 54.523 -2.617
28.380 -46.740 -5.820 54.990 -2.571
28.380 -46.740 -5.820 54.990 -2.571
27.660 -47.400 -6.900 55.312 -2.590
27.660 -47.400 -6.900 55.312 -2.619
26.700 -47.820 -8.040 55.356 -2.619
26.700 -47.820 -8.040 55.356 -2.607
25.920 -48.660 -9.180 55.892 -2.607
25.920 -48.660 -9.180 55.892 -2.644
25.200 -48.960 -10.500 56.057 -2.644
25.200 -48.960 -10.500 56.057 -2.681
24.840 -48.840 -12.000 56.093 -2.681
24.840 -48.840 -12.000 56.093 -2.649
24.240 -48.420 -13.380 55.777 -2.677
24.240 -48.420 -13.380 55.777 -2.677
22.080 -48.540 -14.520 55.267 -2.723
22.080 -48.540 -14.520 55.267 -2.723
20.040 -48.480 -15.240 54.628 -2.675
