X Y Z F A
-8.820 -26.460 -15.420 31.870 2.814
-8.820 -26.460 -15.420 31.870 2.757
-8.940 -26.280 -15.000 31.553 2.757
-8.940 -25.860 -14.400 30.920 2.768
-8.940 -25.860 -14.400 30.920 2.768
-8.700 -25.620 -14.700 30.792 2.746
-8.700 -25.620 -14.700 30.792 2.746
-8.760 -25.140 -15.540 30.826 2.767
-8.760 -25.140 -15.540 30.826 2.905
-8.160 -24.660 -16.740 30.902 2.905
-8.160 -24.660 -16.740 30.902 2.819
-7.260 -24.540 -18.840 31.778 2.819
-7.260 -24.540 -18.840 31.778 2.800
-6.300 -25.020 -20.880 33.191 2.800
-6.300 -25.020 -20.880 33.191 2.926
-5.580 -25.560 -22.620 34.585 2.932
-5.580 -25.560 -22.620 34.585 2.932
-5.100 -26.820 -24.300 36.549 2.872
-5.100 -26.820 -24.300 36.549 2.872
-4.680 -27.960 -26.700 38.943 2.878
-4.680 -27.960 -26.700 38.943 2.878
-4.020 -29.100 -28.260 40.763 -2.968
-4.020 -29.100 -28.260 40.763 -2.968
-3.180 -30.060 -30.420 42.885 3.025
-3.180 -30.060 -30.420 42.885 3.035
-2.580 -30.240 -32.760 44.658 3.035
-2.580 -30.240 -32.760 44.658 3.092
-1.860 -29.640 -34.440 45.476 3.092
-1.860 -29.640 -34.440 45.476 2.990
-2.100 -28.320 -37.140 46.753 2.990
-2.100 -28.320 -37.140 46.753 3.002
-2.520 -26.160 -39.300 47.278 2.831
-2.520 -26.160 -39.300 47.278 2.831
-2.760 -23.580 -41.280 47.620 -2.993
-2.760 -23.580 -41.280 47.620 -2.993
-3.840 -21.600 -42.600 47.917 -3.140
-3.840 -21.600 -42.600 47.917 -3.140
-4.980 -19.140 -43.740 48.003 2.871
-4.980 -19.140 -43.740 48.003 2.871
-6.180 -18.060 -44.460 48.384 2.815
-6.180 -18.060 -44.460 48.384 2.554
-7.740 -17.820 -44.820 48.850 2.554
-7.740 -17.820 -44.820 48.850 2.561
-9.300 -17.640 -44.820 49.056 2.561
-9.300 -17.640 -44.820 49.056 2.826
-10.860 -19.020 -44.100 49.239 2.826
-10.860 -19.020 -44.100 49.239 2.652
-12.540 -21.180 -43.020 49.564 2.652
-12.540 -21.180 -43.020 49.564 2.554
-14.220 -23.280 -41.940 50.031 2.360
-14.220 -23.280 -41.940 50.031 2.360
-16.020 -26.040 -40.560 50.792 2.702
-16.020 -26.040 -40.560 50.792 2.702
-18.060 -28.080 -39.000 51.339 2.519
-18.060 -28.080 -39.000 51.339 2.519
-20.400 -29.100 -37.500 51.664 2.474
-20.400 -29.100 -37.500 51.664 2.474
-22.920 -29.880 -34.920 51.357 2.715
-22.920 -29.880 -34.920 51.357 2.458
-24.840 -29.940 -32.220 50.513 2.458
-24.840 -29.940 -32.220 50.513 2.349
-26.280 -29.580 -29.820 49.546 2.349
-26.280 -29.580 -29.820 49.546 2.507
-27.420 -29.700 -27.480 48.878 2.507
-27.420 -29.700 -27.480 48.878 2.387
-27.900 -29.400 -26.760 48.568 2.387
-27.900 -29.400 -26.760 48.568 2.315
-29.040 -29.640 -27.000 49.506 2.387
-29.040 -29.640 -27.000 49.506 2.387
-29.340 -30.720 -27.480 50.594 2.384
-29.340 -30.720 -27.480 50.594 2.384
-28.440 -31.800 -28.980 51.574 2.378
-28.440 -31.800 -28.980 51.574 2.378
-27.180 -33.000 -30.660 52.610 2.391
-27.180 -33.000 -30.660 52.610 2.434
-24.780 -33.600 -32.280 52.773 2.434
-24.780 -33.600 -32.280 52.773 2.437
-22.500 -33.540 -34.260 52.962 2.437
-22.500 -33.540 -34.260 52.962 2.470
-20.700 -32.580 -35.220 52.253 2.470
-20.700 -32.580 -35.220 52.253 2.610
-18.960 -31.920 -35.460 51.340 2.610
-18.960 -31.920 -35.460 51.340 2.588
-17.040 -31.320 -35.760 50.498 2.618
-17.040 -31.320 -35.760 50.498 2.618
-14.400 -30.180 -36.180 49.266 2.832
-14.400 -30.180 -36.180 49.266 2.832
-12.240 -29.400 -36.120 48.154 2.699
-12.240 -29.400 -36.120 48.154 2.699
-10.020 -28.200 -36.540 47.231 2.649
-10.020 -28.200 -36.540 47.231 2.716
-8.820 -26.640 -36.900 46.358 2.716
-8.820 -26.640 -36.900 46.358 2.982
-8.520 -25.860 -36.960 45.906 2.982
-8.520 -25.860 -36.960 45.906 2.883
-8.100 -25.080 -37.740 46.032 2.883
-8.100 -25.080 -37.740 46.032 2.895
-6.960 -23.940 -38.220 45.633 2.895
-6.960 -23.940 -38.220 45.633 2.773
-5.640 -23.220 -38.700 45.483 2.921
-5.640 -23.220 -38.700 45.483 2.921
-4.380 -22.440 -38.580 44.846 2.983
-4.380 -22.440 -38.580 44.846 2.983
-3.060 -21.240 -38.580 44.147 3.065
-3.060 -21.240 -38.580 44.147 3.065
-1.860 -20.760 -38.640 43.903 -3.128
-1.860 -20.760 -38.640 43.903 -3.128
-.120 -20.640 -39.240 44.337 -3.032
-.120 -20.640 -39.240 44.337 -3.063
2.160 -20.160 -40.020 44.863 -3.063
2.160 -20.160 -40.020 44.863 -2.971
4.380 -20.160 -41.580 46.417 -2.971
4.380 -20.160 -41.580 46.417 -2.720
6.360 -19.920 -42.960 47.779 -2.720
6.360 -19.920 -42.960 47.779 -2.663
8.040 -19.980 -44.580 49.510 -2.489
8.040 -19.980 -44.580 49.510 -2.489
9.900 -20.340 -46.920 52.089 -2.413
9.900 -20.340 -46.920 52.089 -2.413
12.120 -20.460 -49.860 55.241 -2.436
12.120 -20.460 -49.860 55.241 -2.436
14.940 -20.640 -54.420 60.090 -2.816
14.940 -20.640 -54.420 60.090 -2.816
17.820 -20.040 -58.620 64.463 -2.217
17.820 -20.040 -58.620 64.463 -2.217
20.280 -20.280 -62.700 68.948 -2.203
20.280 -20.280 -62.700 68.948 -2.485
22.080 -21.240 -66.300 73.037 -2.485
22.080 -21.240 -66.300 73.037 -2.335
23.160 -23.520 -68.580 76.110 -2.335
23.160 -23.520 -68.580 76.110 -2.018
24.420 -26.640 -70.680 79.383 -2.018
24.420 -26.640 -70.680 79.383 -2.498
25.920 -29.040 -72.780 82.535 -2.473
25.920 -29.040 -72.780 82.535 -2.473
26.400 -32.820 -73.320 84.557 -2.271
26.400 -32.820 -73.320 84.557 -2.271
25.620 -36.360 -72.900 85.398 -2.444
25.620 -36.360 -72.900 85.398 -2.444
24.300 -39.840 -71.340 85.247 -2.370
24.300 -39.840 -71.340 85.247 -2.370
21.960 -44.820 -67.740 84.141 -2.535
21.960 -44.820 -67.740 84.141 -2.609
