X Y Z F A
.540 -.600 42.180 42.188 -2.884
.540 -.420 42.000 42.006 -2.976
.540 -.420 42.000 42.006 -2.998
.540 -.420 42.000 42.006 -2.998
.780 -.420 41.640 41.649 -2.805
.780 -.420 41.640 41.649 -2.805
.960 -.360 41.340 41.353 -3.120
.960 -.360 41.340 41.353 -3.120
1.500 .060 41.100 41.127 3.071
1.500 .060 41.100 41.127 -2.847
1.320 -.120 41.400 41.421 -2.847
1.320 -.120 41.400 41.421 -3.001
1.140 .060 41.400 41.416 -3.001
1.140 .060 41.400 41.416 -2.770
1.140 .240 41.160 41.176 -2.770
1.140 .240 41.160 41.176 2.934
1.020 .180 40.440 40.453 2.623
1.020 .180 40.440 40.453 2.623
1.320 .180 38.640 38.663 3.130
1.320 .180 38.640 38.663 3.130
1.800 -.420 37.500 37.546 3.045
1.800 -.420 37.500 37.546 3.045
2.580 -1.500 35.460 35.585 -1.200
2.580 -1.500 35.460 35.585 -1.200
3.900 -3.060 33.540 33.904 -2.911
3.900 -3.060 33.540 33.904 -2.911
4.800 -4.500 31.800 32.474 -2.540
4.800 -4.500 31.800 32.474 -2.323
5.580 -5.520 29.160 30.198 -2.323
5.580 -5.520 29.160 30.198 -2.540
6.060 -5.700 26.280 27.565 -2.540
6.060 -5.700 26.280 27.565 -2.750
5.760 -5.100 22.800 24.063 -2.750
5.760 -5.100 22.800 24.063 -2.362
6.000 -3.720 19.560 20.795 -2.362
6.240 -1.560 16.320 17.542 -2.082
6.240 -1.560 16.320 17.542 -2.068
6.240 -1.560 16.320 17.542 -2.068
6.120 .600 13.620 14.944 -1.585
6.120 .600 13.620 14.944 -1.585
5.820 3.660 11.880 13.726 -.651
5.820 3.660 11.880 13.726 -.651
4.680 6.480 10.740 13.388 -.619
4.680 6.480 10.740 13.388 -.619
3.060 8.100 10.440 13.563 -.343
3.060 8.100 10.440 13.563 -.296
1.080 8.820 11.340 14.407 -.296
1.080 8.820 11.340 14.407 -.041
-1.440 7.740 12.180 14.503 -.041
-3.960 5.640 13.920 15.532 .250
-3.960 5.640 13.920 15.532 .250
-6.960 3.360 15.780 17.571 .654
-6.960 3.360 15.780 17.571 1.275
-9.540 1.440 16.860 19.425 1.275
-9.540 1.440 16.860 19.425 1.532
-11.340 -.180 18.660 21.836 1.532
-11.340 -.180 18.660 21.836 1.400
-13.080 -1.320 20.280 24.168 1.400
-13.080 -1.320 20.280 24.168 1.736
-14.520 -2.340 22.620 26.981 1.736
-14.520 -2.340 22.620 26.981 1.976
-16.200 -2.820 25.800 30.595 1.758
-16.200 -2.820 25.800 30.595 1.758
-17.760 -3.300 28.680 33.895 1.733
-17.760 -3.300 28.680 33.895 1.733
-19.200 -4.020 30.660 36.398 1.902
-19.200 -4.020 30.660 36.398 1.902
-19.980 -4.500 31.260 37.372 1.801
-19.980 -4.500 31.260 37.372 1.801
-19.560 -6.000 30.360 36.610 1.921
-19.560 -6.000 30.360 36.610 2.032
-18.600 -6.900 28.620 34.823 2.032
-18.600 -6.900 28.620 34.823 1.992
-16.860 -7.320 26.100 31.923 1.992
-16.860 -7.320 26.100 31.923 1.881
-14.460 -7.380 23.400 28.480 1.881
-14.460 -7.380 23.400 28.480 2.040
-12.120 -6.540 21.600 25.617 2.212
-12.120 -6.540 21.600 25.617 2.212
-9.240 -5.400 20.220 22.878 2.267
-9.240 -5.400 20.220 22.878 2.267
-6.480 -4.560 19.740 21.271 2.189
-6.480 -4.560 19.740 21.271 2.189
-4.860 -3.540 19.920 20.808 2.062
-4.860 -3.540 19.920 20.808 2.062
-2.820 -2.520 19.740 20.099 1.748
