X Y Z F A
-1.320 -46.440 13.680 48.431 -1.535
-1.320 -46.440 13.680 48.431 3.132
-1.320 -45.960 13.140 47.820 3.097
-1.560 -45.540 12.120 47.151 3.097
-1.560 -45.540 12.120 47.151 3.099
-1.560 -45.540 12.120 47.151 3.099
-1.320 -44.280 10.920 45.626 3.109
-.540 -43.860 8.880 44.753 3.109
-.540 -43.860 8.880 44.753 3.120
.420 -43.800 6.120 44.227 3.120
.420 -43.800 6.120 44.227 -3.135
.420 -43.800 6.120 44.227 -3.135
2.040 -44.280 3.120 44.437 -3.138
4.080 -45.300 -.060 45.483 -3.086
4.080 -45.300 -.060 45.483 -3.086
6.060 -46.320 -2.700 46.793 -3.051
6.060 -46.320 -2.700 46.793 -3.051
7.080 -48.180 -5.700 49.030 -3.008
7.080 -48.180 -5.700 49.030 -3.008
7.560 -49.440 -7.860 50.629 -2.995
7.560 -49.440 -7.860 50.629 -2.982
7.140 -50.100 -10.320 51.648 -2.982
7.140 -50.100 -10.320 51.648 -2.991
7.740 -50.400 -13.380 52.717 -2.991
7.740 -50.400 -13.380 52.717 -3.011
8.220 -48.540 -15.060 51.483 -3.011
8.220 -48.540 -15.060 51.483 -2.980
7.980 -46.380 -17.940 50.365 -2.980
7.980 -46.380 -17.940 50.365 -2.949
7.080 -43.980 -19.980 48.822 -2.915
7.080 -43.980 -19.980 48.822 -2.915
4.500 -41.820 -21.420 47.201 -2.924
4.500 -41.820 -21.420 47.201 -2.924
2.340 -41.100 -22.800 47.059 -3.031
2.340 -41.100 -22.800 47.059 -3.031
1.020 -41.460 -22.740 47.298 3.123
1.020 -41.460 -22.740 47.298 -3.122
-.360 -43.380 -21.900 48.596 -3.122
-.360 -43.380 -21.900 48.596 3.119
-2.520 -45.300 -20.460 49.770 3.119
-2.520 -45.300 -20.460 49.770 3.109
-4.620 -48.060 -18.540 51.719 3.109
-4.620 -48.060 -18.540 51.719 3.054
-7.200 -50.700 -16.500 53.801 3.054
-7.200 -50.700 -16.500 53.801 2.965
-8.760 -52.560 -14.280 55.165 2.929
-8.760 -52.560 -14.280 55.165 2.929
-10.500 -54.000 -12.120 56.331 2.948
-10.500 -54.000 -12.120 56.331 2.948
-12.720 -54.000 -9.840 56.344 2.929
-12.720 -54.000 -9.840 56.344 2.929
-15.120 -53.160 -6.960 55.705 2.938
-15.120 -53.160 -6.960 55.705 2.938
-18.120 -52.380 -5.160 55.665 2.856
-18.120 -52.380 -5.160 55.665 2.787
-19.140 -52.320 -3.960 55.852 2.787
-19.140 -52.320 -3.960 55.852 2.773
-19.200 -53.400 -3.000 56.826 2.773
-19.200 -53.400 -3.000 56.826 2.789
-18.600 -55.200 -4.380 58.414 2.789
-18.600 -55.200 -4.380 58.414 2.807
-17.400 -56.700 -5.580 59.572 2.807
-17.400 -56.700 -5.580 59.572 2.856
-15.960 -57.960 -6.540 60.472 2.866
-15.960 -57.960 -6.540 60.472 2.866
-13.860 -58.380 -8.640 60.622 2.884
-13.860 -58.380 -8.640 60.622 2.884
-10.980 -58.200 -9.420 59.971 2.889
-10.980 -58.200 -9.420 59.971 2.889
-7.800 -57.480 -9.720 58.816 2.958
-7.800 -57.480 -9.720 58.816 2.958
-5.640 -55.800 -10.740 57.103 2.999
-5.640 -55.800 -10.740 57.103 3.042
-3.900 -54.180 -10.680 55.360 3.042
-3.900 -54.180 -10.680 55.360 3.067
-2.340 -51.900 -11.040 53.113 3.067
-2.340 -51.900 -11.040 53.113 3.089
-.180 -50.160 -12.480 51.690 3.089
-.180 -50.160 -12.480 51.690 3.106
1.680 -49.140 -13.200 50.910 3.106
1.680 -49.140 -13.200 50.910 3.138
3.060 -47.520 -14.340 49.731 -3.077
3.060 -47.520 -14.340 49.731 -3.077
4.020 -46.260 -15.420 48.928 -3.001
4.020 -46.260 -15.420 48.928 -3.001
4.020 -45.300 -15.420 48.021 -3.041
4.020 -45.300 -15.420 48.021 -3.041
5.040 -44.400 -15.600 47.330 -3.056
5.040 -44.400 -15.600 47.330 -3.040
6.780 -43.740 -15.360 46.852 -3.040
6.780 -43.740 -15.360 46.852 -3.026
9.120 -43.740 -14.820 47.074 -3.026
9.120 -43.740 -14.820 47.074 -2.909
11.820 -43.080 -15.360 47.239 -2.909
11.820 -43.080 -15.360 47.239 -2.894
13.860 -42.600 -15.840 47.516 -2.894
13.860 -42.600 -15.840 47.516 -2.831
16.260 -42.420 -16.920 48.478 -2.793
16.260 -42.420 -16.920 48.478 -2.793
18.480 -42.000 -18.600 49.512 -2.670
18.480 -42.000 -18.600 49.512 -2.670
21.360 -41.820 -20.520 51.247 -2.687
21.360 -41.820 -20.520 51.247 -2.687
24.660 -41.460 -23.160 53.511 -2.566
24.660 -41.460 -23.160 53.511 -2.566
26.460 -42.060 -26.280 56.212 -2.541
26.460 -42.060 -26.280 56.212 -2.582
29.040 -42.960 -29.460 59.639 -2.582
29.040 -42.960 -29.460 59.639 -2.430
31.620 -43.800 -32.700 63.147 -2.430
31.620 -43.800 -32.700 63.147 -2.407
34.320 -45.300 -35.580 67.051 -2.407
34.320 -45.300 -35.580 67.051 -2.549
37.440 -47.040 -38.940 71.630 -2.549
37.440 -47.040 -38.940 71.630 -2.381
39.060 -49.140 -42.480 75.796 -2.425
39.060 -49.140 -42.480 75.796 -2.425
39.420 -52.740 -44.880 79.685 -2.446
39.420 -52.740 -44.880 79.685 -2.446
39.120 -57.180 -46.440 83.406 -2.398
39.120 -57.180 -46.440 83.406 -2.398
38.820 -61.080 -45.240 85.349 -2.529
38.820 -61.080 -45.240 85.349 -2.529
38.880 -65.160 -43.320 87.373 -2.622
38.880 -65.160 -43.320 87.373 -2.512
37.800 -68.220 -41.280 88.243 -2.512
37.800 -68.220 -41.280 88.243 -2.591
34.200 -70.680 -38.520 87.459 -2.591
34.200 -70.680 -38.520 87.459 -2.699
30.720 -72.420 -35.820 86.438 -2.699
30.720 -72.420 -35.820 86.438 -2.646
27.000 -72.780 -32.700 84.233 -2.646
27.000 -72.780 -32.700 84.233 -2.821
25.080 -72.780 -28.920 82.233 -2.801
25.080 -72.780 -28.920 82.233 -2.801
24.840 -72.060 -25.560 80.393 -2.820
24.840 -72.060 -25.560 80.393 -2.820
23.640 -70.860 -23.100 78.190 -2.792
23.640 -70.860 -23.100 78.190 -2.792
21.300 -69.960 -21.000 76.086 -2.762
21.300 -69.960 -21.000 76.086 -2.796
19.140 -68.580 -19.740 73.887 -2.796
19.140 -68.580 -19.740 73.887 -2.874
18.000 -66.780 -18.720 71.652 -2.874
18.000 -66.780 -18.720 71.652 -2.901
18.240 -64.740 -17.760 69.566 -2.901
18.240 -64.740 -17.760 69.566 -2.882
19.140 -62.880 -17.220 67.947 -2.882
19.140 -62.880 -17.220 67.947 -2.837
18.600 -60.720 -16.500 65.613 -2.783
18.600 -60.720 -16.500 65.613 -2.783
18.120 -58.500 -15.900 63.272 -2.805
18.120 -58.500 -15.900 63.272 -2.805
17.100 -56.700 -15.480 61.212 -2.831
17.100 -56.700 -15.480 61.212 -2.831
16.740 -54.900 -14.100 59.102 -2.799
16.740 -54.900 -14.100 59.102 -2.799
17.700 -53.580 -12.120 57.715 -2.844
17.700 -53.580 -12.120 57.715 -2.784
17.400 -52.500 -10.560 56.307 -2.784
17.400 -52.500 -10.560 56.307 -2.803
16.740 -51.480 -8.280 54.763 -2.803
16.740 -51.480 -8.280 54.763 -2.819
16.260 -51.180 -6.240 54.062 -2.819
16.260 -51.180 -6.240 54.062 -2.816
15.540 -50.760 -4.800 53.302 -2.816
15.540 -50.760 -4.800 53.302 -2.834
16.380 -50.700 -2.820 53.355 -2.828
16.380 -50.700 -2.820 53.355 -2.828
17.280 -50.400 -.900 53.288 -2.803
17.280 -50.400 -.900 53.288 -2.803
17.580 -49.440 .840 52.479 -2.792
17.580 -49.440 .840 52.479 -2.792
17.760 -48.060 2.760 51.311 -2.793
17.760 -48.060 2.760 51.311 -2.782
17.040 -46.440 4.440 49.666 -2.782
17.040 -46.440 4.440 49.666 -2.790
17.040 -45.120 4.740 48.463 -2.790
17.040 -45.120 4.740 48.463 -2.779
17.880 -43.860 4.260 47.556 -2.779
17.880 -43.860 4.260 47.556 -2.764
18.060 -44.040 2.880 47.686 -2.764
18.060 -44.040 2.880 47.686 -2.750
18.240 -44.580 1.140 48.181 -2.754
18.240 -44.580 1.140 48.181 -2.754
17.640 -45.840 .240 49.118 -2.768
17.640 -45.840 .240 49.118 -2.768
16.980 -47.340 -1.140 50.306 -2.791
16.980 -47.340 -1.140 50.306 -2.791
17.040 -48.420 -2.340 51.384 -2.812
17.040 -48.420 -2.340 51.384 -2.812
17.520 -49.500 -3.360 52.616 -2.795
17.520 -49.500 -3.360 52.616 -2.794
18.000 -50.460 -4.620 53.773 -2.794
18.000 -50.460 -4.620 53.773 -2.791
17.760 -51.600 -4.920 54.792 -2.791
17.760 -51.600 -4.920 54.792 -2.796
18.360 -52.500 -5.100 55.851 -2.796
18.360 -52.500 -5.100 55.851 -2.795
18.900 -53.520 -5.580 57.033 -2.795
18.900 -53.520 -5.580 57.033 -2.785
20.280 -54.000 -6.480 58.045 -2.786
20.280 -54.000 -6.480 58.045 -2.786
21.540 -54.480 -7.320 59.039 -2.739
21.540 -54.480 -7.320 59.039 -2.739
21.240 -55.740 -8.520 60.255 -2.751
21.240 -55.740 -8.520 60.255 -2.751
20.160 -56.520 -9.480 60.752 -2.777
20.160 -56.520 -9.480 60.752 -2.777
19.620 -57.360 -10.560 61.536 -2.782
19.620 -57.360 -10.560 61.536 -2.792
19.560 -57.360 -11.280 61.644 -2.792
19.560 -57.360 -11.280 61.644 -2.827
19.200 -57.060 -11.460 61.285 -2.827
19.200 -57.060 -11.460 61.285 -2.795
19.260 -57.420 -11.640 61.672 -2.795
19.260 -57.420 -11.640 61.672 -2.817
17.700 -57.660 -10.500 61.223 -2.817
17.700 -57.660 -10.500 61.223 -2.828
16.200 -58.440 -8.940 61.299 -2.858
16.200 -58.440 -8.940 61.299 -2.858
14.760 -59.280 -7.020 61.492 -2.887
14.760 -59.280 -7.020 61.492 -2.887
14.280 -59.880 -4.560 61.728 -2.918
14.280 -59.880 -4.560 61.728 -2.918
13.380 -60.360 -2.580 61.879 -2.915
11.220 -60.600 -1.020 61.638 -2.956
11.220 -60.600 -1.020 61.638 -2.956
9.840 -60.060 .480 60.863 -2.958
9.840 -60.060 .480 60.863 -2.958
8.280 -58.800 2.040 59.415 -2.976
8.280 -58.800 2.040 59.415 -2.976
7.920 -57.300 3.540 57.953 -3.000
7.920 -57.300 3.540 57.953 -3.000
8.580 -54.900 4.980 55.789 -3.001
8.580 -54.900 4.980 55.789 -2.997
8.820 -52.620 6.060 53.697 -2.997
8.820 -52.620 6.060 53.697 -2.972
8.280 -49.440 6.900 50.601 -2.972
8.280 -49.440 6.900 50.601 -2.990
7.980 -46.200 7.260 47.443 -2.990
7.980 -46.200 7.260 47.443 -2.965
7.620 -43.260 6.900 44.465 -2.965
7.620 -43.260 6.900 44.465 -2.975
8.340 -40.740 6.420 42.078 -2.922
8.340 -40.740 6.420 42.078 -2.922
9.060 -39.480 5.640 40.897 -2.966
9.060 -39.480 5.640 40.897 -2.966
9.060 -39.120 4.860 40.448 -2.922
9.060 -39.120 4.860 40.448 -2.922
9.300 -39.720 5.100 41.112 -2.912
9.300 -39.720 5.100 41.112 -2.912
8.880 -41.280 5.280 42.553 -2.908
8.880 -41.280 5.280 42.553 -2.928
9.540 -42.900 6.240 44.389 -2.928
9.540 -42.900 6.240 44.389 -2.906
10.500 -45.000 7.200 46.766 -2.906
10.500 -45.000 7.200 46.766 -2.947
10.800 -47.100 7.440 48.892 -2.947
10.800 -47.100 7.440 48.892 -2.917
10.740 -49.620 8.520 51.479 -2.917
10.740 -49.620 8.520 51.479 -2.924
10.560 -52.020 8.640 53.780 -2.946
10.560 -52.020 8.640 53.780 -2.946
10.740 -54.060 9.120 55.866 -2.939
10.740 -54.060 9.120 55.866 -2.939
12.240 -56.280 9.120 58.313 -2.917
12.240 -56.280 9.120 58.313 -2.917
14.340 -57.600 8.040 59.900 -2.944
14.340 -57.600 8.040 59.900 -2.944
15.360 -59.040 6.240 61.324 -2.895
15.360 -59.040 6.240 61.324 -2.875
16.560 -60.300 3.300 62.620 -2.875
16.560 -60.300 3.300 62.620 -2.869
18.300 -60.720 .420 63.419 -2.869
18.300 -60.720 .420 63.419 -2.845
21.000 -60.300 -2.220 63.891 -2.845
21.000 -60.300 -2.220 63.891 -2.828
24.240 -59.400 -3.900 64.274 -2.774
24.240 -59.400 -3.900 64.274 -2.735
26.820 -58.020 -4.680 64.090 -2.762
26.820 -58.020 -4.680 64.090 -2.762
28.500 -56.580 -4.560 63.516 -2.709
28.500 -56.580 -4.560 63.516 -2.709
29.340 -55.500 -4.380 62.931 -2.662
29.340 -55.500 -4.380 62.931 -2.662
30.660 -54.540 -3.420 62.661 -2.652
30.660 -54.540 -3.420 62.661 -2.620
33.180 -53.220 -1.680 62.738 -2.642
33.180 -53.220 -1.680 62.738 -2.568
35.280 -51.780 -.540 62.659 -2.568
35.280 -51.780 -.540 62.659 -2.544
36.600 -50.520 .960 62.392 -2.544
36.600 -50.520 .960 62.392 -2.514
38.220 -48.480 1.440 61.751 -2.514
38.220 -48.480 1.440 61.751 -2.474
38.220 -46.920 1.380 60.532 -2.454
38.220 -46.920 1.380 60.532 -2.454
38.640 -46.020 1.320 60.105 -2.439
38.640 -46.020 1.320 60.105 -2.439
38.820 -45.060 2.160 59.515 -2.441
38.820 -45.060 2.160 59.515 -2.441
37.620 -45.300 2.160 58.924 -2.424
37.620 -45.300 2.160 58.924 -2.447
36.900 -45.840 2.280 58.891 -2.447
36.900 -45.840 2.280 58.891 -2.474
35.520 -45.420 1.740 57.686 -2.446
35.520 -45.420 1.740 57.686 -2.469
34.860 -45.360 .120 57.208 -2.469
34.860 -45.360 .120 57.208 -2.489
34.020 -45.480 -.840 56.802 -2.489
34.020 -45.480 -.840 56.802 -2.490
32.040 -46.020 -2.220 56.119 -2.490
32.040 -46.020 -2.220 56.119 -2.525
30.060 -47.400 -3.180 56.218 -2.574
30.060 -47.400 -3.180 56.218 -2.574
27.840 -48.000 -4.200 55.648 -2.554
27.840 -48.000 -4.200 55.648 -2.554
27.240 -47.760 -5.040 55.213 -2.594
27.240 -47.760 -5.040 55.213 -2.594
27.420 -47.220 -5.460 54.876 -2.650
27.420 -47.220 -5.460 54.876 -2.650
27.420 -47.040 -6.120 54.791 -2.594
27.420 -47.040 -6.120 54.791 -2.591
26.820 -47.940 -7.140 55.394 -2.591
26.820 -47.940 -7.140 55.394 -2.616
25.680 -48.720 -8.280 55.693 -2.616
