X Y Z F A
4.980 -46.740 12.480 48.633 -.586
5.340 -46.620 12.180 48.480 -3.032
5.340 -46.620 12.180 48.480 -3.014
5.400 -46.800 12.180 48.660 -3.014
5.400 -46.800 12.180 48.660 -3.041
5.220 -46.980 12.300 48.843 -3.041
5.220 -46.980 12.300 48.843 -3.019
5.400 -47.280 12.300 49.151 -3.019
5.400 -47.280 12.300 49.151 -3.030
5.160 -47.160 12.660 49.102 -3.030
5.160 -47.160 12.660 49.102 -3.031
5.160 -46.500 12.600 48.452 -3.032
5.160 -46.500 12.600 48.452 -3.032
5.040 -45.840 12.000 47.652 -3.036
5.040 -45.840 12.000 47.652 -3.036
5.040 -44.760 11.340 46.448 -3.026
5.040 -44.760 11.340 46.448 -3.026
5.220 -44.220 10.440 45.735 -3.049
5.220 -44.220 10.440 45.735 -3.049
5.040 -43.800 9.060 45.010 -3.025
5.040 -43.800 9.060 45.010 -3.013
5.700 -43.440 7.740 44.491 -3.013
5.700 -43.440 7.740 44.491 -2.999
6.060 -43.440 6.300 44.311 -2.999
6.060 -43.440 6.300 44.311 -3.008
6.480 -43.440 4.320 44.133 -3.008
6.480 -43.440 4.320 44.133 -2.991
7.560 -43.920 2.520 44.637 -2.972
7.560 -43.920 2.520 44.637 -2.972
8.280 -44.760 .960 45.530 -2.954
8.280 -44.760 .960 45.530 -2.954
9.840 -46.260 -.660 47.300 -2.950
9.840 -46.260 -.660 47.300 -2.950
11.160 -47.520 -1.860 48.848 -2.925
11.160 -47.520 -1.860 48.848 -2.925
12.540 -48.900 -3.120 50.579 -2.911
12.540 -48.900 -3.120 50.579 -2.911
13.500 -49.980 -4.620 51.977 -2.878
13.500 -49.980 -4.620 51.977 -2.860
13.440 -50.520 -6.660 52.700 -2.860
13.440 -50.520 -6.660 52.700 -2.877
13.500 -51.000 -8.940 53.509 -2.877
13.500 -51.000 -8.940 53.509 -2.869
12.900 -51.300 -11.340 54.099 -2.882
12.900 -51.300 -11.340 54.099 -2.866
12.960 -50.940 -13.980 54.390 -2.867
12.960 -50.940 -13.980 54.390 -2.867
13.200 -49.860 -16.200 54.062 -2.923
13.200 -49.860 -16.200 54.062 -2.923
13.320 -48.720 -18.720 53.866 -2.859
13.320 -48.720 -18.720 53.866 -2.859
12.960 -46.320 -20.940 52.459 -2.839
12.960 -46.320 -20.940 52.459 -2.839
12.120 -43.920 -22.620 50.868 -2.847
12.120 -43.920 -22.620 50.868 -2.832
11.520 -42.600 -24.300 50.378 -2.832
11.520 -42.600 -24.300 50.378 -2.827
10.140 -41.160 -24.900 49.163 -2.827
