X Y Z F A
-6.180 -40.140 -8.880 41.572 .000
-6.600 -40.560 -9.120 42.093 2.989
-6.600 -40.560 -9.120 42.093 2.989
-6.600 -40.800 -9.660 42.444 2.962
-6.600 -40.800 -9.660 42.444 2.974
-6.600 -40.560 -10.800 42.489 2.974
-6.600 -40.560 -10.800 42.489 2.959
-6.420 -41.160 -11.880 43.319 2.959
-6.420 -41.160 -11.880 43.319 2.937
-6.000 -41.580 -12.960 43.964 2.937
-6.000 -41.580 -12.960 43.964 2.988
-5.820 -42.360 -14.280 45.079 2.988
-5.820 -42.360 -14.280 45.079 2.991
-5.640 -43.440 -15.360 46.420 3.029
-5.640 -43.440 -15.360 46.420 3.029
-5.280 -44.220 -17.100 47.704 2.994
-5.280 -44.220 -17.100 47.704 2.994
-3.900 -44.820 -19.320 48.962 3.044
-3.900 -44.820 -19.320 48.962 3.044
-2.280 -45.000 -22.140 50.203 3.032
-2.280 -45.000 -22.140 50.203 3.032
-.720 -45.960 -24.600 52.134 3.073
-.720 -45.960 -24.600 52.134 3.112
-.060 -45.540 -27.420 53.158 3.112
-.060 -45.540 -27.420 53.158 3.077
.120 -44.220 -30.720 53.844 3.077
.120 -44.220 -30.720 53.844 3.119
-.600 -42.420 -32.940 53.711 3.119
-.600 -42.420 -32.940 53.711 3.083
-1.020 -39.060 -36.060 53.170 3.114
-1.020 -39.060 -36.060 53.170 3.114
-.720 -36.600 -37.440 52.363 3.083
-.720 -36.600 -37.440 52.363 3.083
-1.680 -34.380 -38.520 51.658 3.095
-1.680 -34.380 -38.520 51.658 3.095
-2.820 -32.160 -39.360 50.906 3.026
-2.820 -32.160 -39.360 50.906 3.026
-4.920 -31.860 -38.520 50.230 2.977
-4.920 -31.860 -38.520 50.230 2.951
-7.200 -32.760 -37.680 50.446 2.951
-7.200 -32.760 -37.680 50.446 2.824
-8.880 -34.080 -36.480 50.706 2.824
-8.880 -34.080 -36.480 50.706 2.748
-9.780 -37.380 -34.740 51.959 2.748
-9.780 -37.380 -34.740 51.959 2.778
-11.160 -39.960 -33.840 53.540 2.639
-11.160 -39.960 -33.840 53.540 2.639
-13.500 -41.640 -32.940 54.783 2.787
-13.500 -41.640 -32.940 54.783 2.787
-15.600 -43.140 -31.320 55.546 2.823
-15.600 -43.140 -31.320 55.546 2.823
-18.180 -43.440 -29.340 55.483 2.687
-18.180 -43.440 -29.340 55.483 2.687
-19.680 -43.260 -27.360 54.839 2.664
-19.680 -43.260 -27.360 54.839 2.664
-20.880 -43.620 -24.960 54.421 2.646
-20.880 -43.620 -24.960 54.421 2.605
-22.080 -44.040 -22.920 54.336 2.605
-22.080 -44.040 -22.920 54.336 2.606
-23.520 -45.240 -22.080 55.564 2.606
-23.520 -45.240 -22.080 55.564 2.680
-24.060 -47.340 -21.480 57.283 2.680
-24.060 -47.340 -21.480 57.283 2.608
-23.760 -48.960 -22.860 59.027 2.634
-23.760 -48.960 -22.860 59.027 2.634
-22.140 -50.700 -24.780 60.619 2.661
-22.140 -50.700 -24.780 60.619 2.661
-19.620 -51.600 -26.820 61.374 2.701
-19.620 -51.600 -26.820 61.374 2.701
-17.400 -50.880 -28.980 61.085 2.747
-17.400 -50.880 -28.980 61.085 2.747
-15.240 -49.740 -29.580 59.844 2.813
-15.240 -49.740 -29.580 59.844 2.758
-13.140 -47.940 -30.120 58.122 2.758
-13.140 -47.940 -30.120 58.122 2.834
-10.620 -46.260 -30.480 56.407 2.834
-10.620 -46.260 -30.480 56.407 2.824
-8.880 -45.120 -30.060 54.939 2.824
-8.880 -45.120 -30.060 54.939 2.790
-6.840 -43.680 -30.840 53.906 2.890
-6.840 -43.680 -30.840 53.906 2.890
-5.400 -42.720 -30.960 53.035 3.018
-5.400 -42.720 -30.960 53.035 2.958
-4.680 -40.920 -31.440 51.815 2.899
-4.680 -40.920 -31.440 51.815 2.899
-3.420 -39.480 -32.460 51.225 2.998
-3.420 -39.480 -32.460 51.225 2.998
-2.580 -37.440 -32.520 49.658 2.941
-2.580 -37.440 -32.520 49.658 2.941
-2.100 -35.940 -31.980 48.154 2.895
-2.100 -35.940 -31.980 48.154 2.937
-1.140 -35.220 -31.080 46.986 2.937
-1.140 -35.220 -31.080 46.986 3.066
.600 -34.620 -30.060 45.853 3.066
.600 -34.620 -30.060 45.853 3.094
2.400 -35.100 -29.520 45.926 3.094
2.400 -35.100 -29.520 45.926 -3.058
4.980 -34.980 -30.300 46.546 -3.058
4.980 -34.980 -30.300 46.546 -3.043
7.980 -35.340 -31.980 48.325 -3.031
7.980 -35.340 -31.980 48.325 -3.031
10.800 -35.940 -34.020 50.653 -2.962
