X Y Z F A
8.820 -41.940 17.580 46.323 -2.967
8.520 -41.880 17.160 46.054 -2.966
8.520 -41.880 17.160 46.054 -2.993
7.560 -41.760 16.380 45.490 -2.993
7.560 -41.760 16.380 45.490 -2.992
6.840 -41.160 15.000 44.339 -2.992
6.840 -41.160 15.000 44.339 -2.978
5.460 -40.980 13.080 43.362 -2.978
5.460 -40.980 13.080 43.362 -2.999
4.860 -41.280 11.400 43.100 -2.999
4.860 -41.280 11.400 43.100 -3.035
4.620 -41.520 9.300 42.799 -3.046
4.620 -41.520 9.300 42.799 -3.046
4.620 -42.480 6.720 43.256 -3.022
4.620 -42.480 6.720 43.256 -3.022
5.700 -43.800 4.560 44.404 -3.034
5.700 -43.800 4.560 44.404 -3.034
7.020 -44.760 2.340 45.368 -3.005
7.020 -44.760 2.340 45.368 -3.005
9.120 -46.200 .240 47.092 -2.983
9.120 -46.200 .240 47.092 -2.942
10.260 -47.880 -1.620 48.994 -2.942
10.260 -47.880 -1.620 48.994 -2.926
10.020 -48.900 -3.780 50.059 -2.926
10.020 -48.900 -3.780 50.059 -2.939
9.720 -49.680 -5.820 50.955 -2.939
9.720 -49.680 -5.820 50.955 -2.956
9.420 -50.340 -8.580 51.928 -2.949
9.420 -50.340 -8.580 51.928 -2.949
9.960 -49.500 -10.440 51.560 -2.949
9.960 -49.500 -10.440 51.560 -2.949
10.980 -48.000 -12.780 50.871 -2.963
10.980 -48.000 -12.780 50.871 -2.963
11.100 -46.800 -15.600 50.565 -2.913
11.100 -46.800 -15.600 50.565 -2.913
10.140 -44.760 -17.460 49.103 -2.905
10.140 -44.760 -17.460 49.103 -2.928
8.520 -43.320 -19.260 48.168 -2.928
8.520 -43.320 -19.260 48.168 -2.945
6.840 -42.360 -20.580 47.589 -2.945
6.840 -42.360 -20.580 47.589 -2.948
5.700 -40.440 -21.480 46.144 -2.948
5.700 -40.440 -21.480 46.144 -2.992
4.200 -38.820 -22.140 44.887 -2.973
4.200 -38.820 -22.140 44.887 -2.973
2.640 -39.420 -22.020 45.230 -3.032
2.640 -39.420 -22.020 45.230 -3.032
.240 -39.900 -21.600 45.372 -3.073
.240 -39.900 -21.600 45.372 -3.073
-1.800 -41.280 -20.940 46.322 -2.954
-1.800 -41.280 -20.940 46.322 -3.051
-3.960 -43.980 -19.260 48.175 -3.051
-3.960 -43.980 -19.260 48.175 3.084
-5.760 -45.420 -18.120 49.239 3.084
-5.760 -45.420 -18.120 49.239 3.000
-6.720 -47.520 -16.740 50.828 3.000
-6.720 -47.520 -16.740 50.828 2.993
-8.760 -49.860 -14.280 52.599 2.993
-8.760 -49.860 -14.280 52.599 2.951
-10.380 -50.820 -12.840 53.435 2.951
-10.380 -50.820 -12.840 53.435 2.889
-12.420 -51.180 -10.920 53.786 2.889
-12.420 -51.180 -10.920 53.786 2.889
-14.580 -51.240 -8.760 53.989 2.869
-14.580 -51.240 -8.760 53.989 2.869
-16.380 -50.520 -7.260 53.603 2.810
-16.380 -50.520 -7.260 53.603 2.810
-17.460 -50.460 -5.100 53.638 2.831
-17.460 -50.460 -5.100 53.638 2.831
-18.900 -49.740 -3.480 53.323 2.809
-18.900 -49.740 -3.480 53.323 2.770
-19.980 -49.260 -2.520 53.217 2.770
-19.980 -49.260 -2.520 53.217 2.762
-20.700 -49.740 -2.400 53.929 2.762
-20.700 -49.740 -2.400 53.929 2.739
-20.820 -49.980 -3.780 54.275 2.739
-20.820 -49.980 -3.780 54.275 2.742
-19.680 -51.420 -5.640 55.346 2.742
-19.680 -51.420 -5.640 55.346 2.781
-18.420 -53.040 -7.560 56.654 2.781
-18.420 -53.040 -7.560 56.654 2.767
-15.840 -53.760 -9.120 56.782 2.848
-15.840 -53.760 -9.120 56.782 2.848
-13.800 -54.480 -9.720 57.035 2.863
-13.800 -54.480 -9.720 57.035 2.863
-11.580 -54.540 -10.500 56.736 2.892
-11.580 -54.540 -10.500 56.736 2.892
-8.700 -53.460 -11.220 55.313 2.930
-8.700 -53.460 -11.220 55.313 2.984
-6.600 -52.800 -11.580 54.456 2.984
-6.600 -52.800 -11.580 54.456 3.016
-4.680 -51.660 -12.060 53.255 3.016
-4.680 -51.660 -12.060 53.255 3.052
-3.240 -49.860 -12.540 51.515 3.052
-3.240 -49.860 -12.540 51.515 3.066
-2.580 -48.900 -12.600 50.563 3.113
-2.580 -48.900 -12.600 50.563 3.113
-1.800 -47.460 -13.080 49.262 3.117
-1.800 -47.460 -13.080 49.262 3.117
-.720 -46.020 -13.740 48.033 3.128
-.720 -46.020 -13.740 48.033 3.128
.660 -45.300 -14.100 47.448 -3.116
.660 -45.300 -14.100 47.448 -3.116
1.800 -43.620 -14.700 46.066 3.136
1.800 -43.620 -14.700 46.066 -3.094
2.460 -42.480 -15.540 45.300 -3.094
2.460 -42.480 -15.540 45.300 -3.057
3.480 -41.460 -15.780 44.498 -3.057
3.480 -41.460 -15.780 44.498 -3.001
4.860 -40.500 -15.300 43.566 -3.001
4.860 -40.500 -15.300 43.566 -2.993
6.840 -40.560 -15.420 43.928 -2.993
6.840 -40.560 -15.420 43.928 -2.946
9.240 -39.720 -15.000 43.452 -2.940
9.240 -39.720 -15.000 43.452 -2.940
11.880 -39.600 -15.420 44.126 -2.821
11.880 -39.600 -15.420 44.126 -2.821
13.620 -39.300 -17.160 44.994 -2.777
13.620 -39.300 -17.160 44.994 -2.777
15.120 -39.300 -18.840 46.131 -2.762
15.120 -39.300 -18.840 46.131 -2.762
16.980 -40.260 -21.120 48.531 -2.709
16.980 -40.260 -21.120 48.531 -2.684
18.900 -41.040 -23.460 50.910 -2.684
18.900 -41.040 -23.460 50.910 -2.667
21.840 -41.880 -26.280 54.051 -2.667
21.840 -41.880 -26.280 54.051 -2.648
24.060 -42.120 -30.180 57.130 -2.648
24.060 -42.120 -30.180 57.130 -2.573
25.320 -42.660 -34.140 60.221 -2.573
25.320 -42.660 -34.140 60.221 -2.510
26.820 -43.200 -38.460 63.755 -2.521
26.820 -43.200 -38.460 63.755 -2.521
28.140 -44.220 -42.360 67.392 -2.517
28.140 -44.220 -42.360 67.392 -2.473
30.000 -46.140 -45.060 71.129 -2.482
30.000 -46.140 -45.060 71.129 -2.565
31.860 -48.600 -48.000 75.373 -2.561
31.860 -48.600 -48.000 75.373 -2.480
32.340 -51.420 -51.300 79.508 -2.459
32.340 -51.420 -51.300 79.508 -2.497
31.200 -55.380 -53.520 83.095 -2.465
31.200 -55.380 -53.520 83.095 -2.558
30.960 -59.580 -54.240 86.315 -2.602
30.960 -59.580 -54.240 86.315 -2.528
30.540 -63.480 -52.800 88.035 -2.552
30.540 -63.480 -52.800 88.035 -2.601
30.660 -66.780 -48.300 87.935 -2.689
30.660 -66.780 -48.300 87.935 -2.712
30.480 -69.060 -43.500 87.124 -2.689
30.480 -69.060 -43.500 87.124 -2.646
28.500 -70.500 -38.520 85.243 -2.713
28.500 -70.500 -38.520 85.243 -2.713
25.800 -71.100 -34.200 83.009 -2.753
25.800 -71.100 -34.200 83.009 -2.740
23.040 -71.940 -30.300 81.390 -2.796
23.040 -71.940 -30.300 81.390 -2.778
21.000 -71.640 -26.700 79.285 -2.823
21.000 -71.640 -26.700 79.285 -2.811
19.980 -70.740 -24.060 77.345 -2.848
19.980 -70.740 -24.060 77.345 -2.882
19.500 -69.780 -22.020 75.726 -2.839
19.500 -69.780 -22.020 75.726 -2.840
17.940 -67.980 -20.820 73.325 -2.859
17.940 -67.980 -20.820 73.325 -2.854
16.380 -66.420 -19.800 71.218 -2.897
16.380 -66.420 -19.800 71.218 -2.868
15.060 -64.620 -18.960 69.007 -2.896
15.060 -64.620 -18.960 69.007 -2.896
14.280 -62.640 -18.060 66.737 -2.887
14.280 -62.640 -18.060 66.737 -2.887
14.580 -60.960 -17.400 65.050 -2.884
14.580 -60.960 -17.400 65.050 -2.906
15.060 -59.340 -16.260 63.344 -2.906
15.060 -59.340 -16.260 63.344 -2.869
15.060 -57.900 -15.420 61.782 -2.869
15.060 -57.900 -15.420 61.782 -2.877
15.180 -56.400 -14.340 60.142 -2.877
15.180 -56.400 -14.340 60.142 -2.849
14.760 -54.780 -12.960 58.195 -2.864
14.760 -54.780 -12.960 58.195 -2.852
15.060 -53.220 -12.300 56.661 -2.842
15.060 -53.220 -12.300 56.661 -2.838
15.300 -52.380 -10.860 55.639 -2.839
15.300 -52.380 -10.860 55.639 -2.827
15.420 -51.720 -8.820 54.686 -2.830
15.420 -51.720 -8.820 54.686 -2.836
15.600 -51.240 -6.960 54.012 -2.834
15.600 -51.240 -6.960 54.012 -2.825
15.480 -51.060 -4.500 53.544 -2.844
15.480 -51.060 -4.500 53.544 -2.840
15.660 -50.820 -2.100 53.220 -2.831
15.660 -50.820 -2.100 53.220 -2.826
15.720 -50.580 -.660 52.971 -2.835
15.720 -50.580 -.660 52.971 -2.835
15.840 -50.220 1.260 52.674 -2.837
15.840 -50.220 1.260 52.674 -2.837
16.020 -49.560 3.240 52.186 -2.839
16.020 -49.560 3.240 52.186 -2.829
15.480 -48.300 4.860 50.952 -2.829
15.480 -48.300 4.860 50.952 -2.859
15.240 -47.280 6.840 50.144 -2.827
15.240 -47.280 6.840 50.144 -2.835
15.000 -46.560 7.560 49.497 -2.827
15.000 -46.560 7.560 49.497 -2.844
15.000 -45.720 7.320 48.671 -2.852
15.000 -45.720 7.320 48.671 -2.811
15.480 -45.540 6.480 48.534 -2.812
15.480 -45.540 6.480 48.534 -2.807
16.020 -45.240 4.680 48.220 -2.809
16.020 -45.240 4.680 48.220 -2.800
16.560 -45.600 3.240 48.622 -2.796
16.560 -45.600 3.240 48.622 -2.804
16.980 -46.440 1.560 49.471 -2.804
16.980 -46.440 1.560 49.471 -2.794
17.340 -47.280 .240 50.360 -2.794
17.340 -47.280 .240 50.360 -2.784
18.360 -48.240 -.780 51.622 -2.777
18.360 -48.240 -.780 51.622 -2.777
18.900 -49.320 -2.280 52.867 -2.776
18.900 -49.320 -2.280 52.867 -2.776
19.260 -50.580 -2.640 54.187 -2.770
19.260 -50.580 -2.640 54.187 -2.770
19.200 -51.600 -3.360 55.159 -2.777
19.200 -51.600 -3.360 55.159 -2.777
18.600 -53.220 -3.960 56.516 -2.781
18.600 -53.220 -3.960 56.516 -2.789
18.720 -54.480 -3.840 57.734 -2.789
18.720 -54.480 -3.840 57.734 -2.799
19.260 -55.380 -4.560 58.811 -2.799
19.260 -55.380 -4.560 58.811 -2.808
19.800 -56.760 -4.860 60.311 -2.808
19.800 -56.760 -4.860 60.311 -2.793
19.620 -57.900 -5.760 61.405 -2.804
