X Y Z F A
-17.280 8.160 49.500 53.061 .000
-17.460 8.160 49.620 53.231 1.280
-17.460 8.160 49.620 53.231 1.293
-17.820 8.340 49.440 53.211 1.293
-17.820 8.340 49.440 53.211 1.306
-17.820 8.160 48.960 52.737 1.306
-17.820 8.160 48.960 52.737 1.387
-17.160 8.220 49.140 52.695 1.387
-17.160 8.220 49.140 52.695 1.434
-16.980 7.980 48.540 52.040 1.434
-16.980 7.980 48.540 52.040 1.378
-16.440 7.980 48.180 51.529 1.659
-16.440 7.980 48.180 51.529 1.659
-16.740 8.340 48.240 51.739 1.553
-16.740 8.340 48.240 51.739 1.553
-16.920 8.880 47.760 51.441 1.437
-16.920 8.880 47.760 51.441 1.437
-16.560 9.600 46.860 50.619 1.533
-16.560 9.600 46.860 50.619 1.533
-15.780 9.600 45.480 49.088 1.077
-15.780 9.600 45.480 49.088 1.397
-14.520 9.120 43.920 47.148 1.397
-14.520 9.120 43.920 47.148 1.306
-13.260 8.040 42.480 45.222 1.306
-13.260 8.040 42.480 45.222 .956
-12.120 6.300 40.920 43.140 .956
-12.120 6.300 40.920 43.140 1.432
-11.280 4.680 40.080 41.899 1.432
-11.280 4.680 40.080 41.899 2.019
-10.680 3.540 38.280 39.899 1.436
-10.680 3.540 38.280 39.899 1.436
-9.960 2.340 36.300 37.714 1.558
-9.960 2.340 36.300 37.714 1.558
-9.660 1.680 34.500 35.866 1.886
-9.660 1.680 34.500 35.866 1.886
-9.180 1.980 31.920 33.273 1.650
-9.180 1.980 31.920 33.273 1.110
-8.220 2.520 29.580 30.804 1.110
-8.220 2.520 29.580 30.804 1.613
-8.160 3.600 27.360 28.777 1.613
-8.160 3.600 27.360 28.777 1.840
-7.980 5.760 25.260 27.110 1.840
-7.980 5.760 25.260 27.110 1.237
-8.700 7.740 23.400 26.137 1.237
-8.700 7.740 23.400 26.137 .931
-10.200 9.840 22.200 26.338 1.131
-10.200 9.840 22.200 26.338 1.131
-11.760 11.760 22.080 27.643 1.034
-11.760 11.760 22.080 27.643 1.034
-13.260 12.360 21.660 28.245 .809
-13.260 12.360 21.660 28.245 .809
-14.880 11.580 21.840 28.853 1.143
-14.880 11.580 21.840 28.853 1.143
-16.620 10.740 22.800 30.190 .963
-16.620 10.740 22.800 30.190 1.370
-18.660 8.460 23.460 31.147 1.370
-18.660 8.460 23.460 31.147 1.394
-20.580 5.760 25.020 32.905 1.394
-20.580 5.760 25.020 32.905 1.498
-22.320 4.320 26.880 35.205 1.498
-22.320 4.320 26.880 35.205 1.332
