X Y Z F A
-9.000 -22.860 -11.160 26.984 2.736
-9.060 -22.740 -11.400 27.003 2.701
-9.060 -22.740 -11.400 27.003 2.701
-9.120 -22.620 -11.520 26.973 2.707
-9.120 -22.620 -11.520 26.973 2.703
-9.060 -22.080 -12.120 26.768 2.703
-9.060 -22.080 -12.120 26.768 2.724
-9.240 -21.900 -13.500 27.336 2.724
-9.240 -21.900 -13.500 27.336 2.725
-8.340 -22.200 -14.580 27.838 2.725
-8.340 -22.200 -14.580 27.838 2.743
-7.080 -22.380 -16.440 28.658 2.816
-7.080 -22.380 -16.440 28.658 2.816
-6.120 -23.400 -18.120 30.222 2.792
-6.120 -23.400 -18.120 30.222 2.792
-4.500 -24.540 -20.040 32.001 2.762
-4.500 -24.540 -20.040 32.001 2.762
-3.900 -25.560 -21.960 33.923 2.881
-3.900 -25.560 -21.960 33.923 2.881
-3.480 -26.640 -23.220 35.510 3.009
-3.480 -26.640 -23.220 35.510 3.009
-3.120 -27.840 -25.020 37.561 3.016
-3.120 -27.840 -25.020 37.561 3.092
-3.360 -28.320 -27.660 39.729 3.092
-3.360 -28.320 -27.660 39.729 2.944
-2.580 -27.780 -29.760 40.793 2.944
-2.580 -27.780 -29.760 40.793 3.023
-3.060 -27.000 -32.700 42.517 3.023
-3.060 -27.000 -32.700 42.517 3.054
-3.120 -25.560 -35.580 43.920 3.054
-3.120 -25.560 -35.580 43.920 2.964
-3.300 -22.980 -37.500 44.105 3.039
-3.300 -22.980 -37.500 44.105 3.039
-4.500 -21.000 -39.840 45.260 2.898
-4.500 -21.000 -39.840 45.260 2.898
-4.800 -18.900 -41.460 45.817 2.840
-4.800 -18.900 -41.460 45.817 2.840
-5.880 -16.380 -42.600 46.018 3.062
-5.880 -16.380 -42.600 46.018 2.743
-7.260 -16.140 -42.180 45.742 2.743
-7.260 -16.140 -42.180 45.742 2.233
-8.640 -16.500 -42.120 46.054 2.233
-8.640 -16.500 -42.120 46.054 2.274
-10.680 -17.520 -41.580 46.367 2.274
-10.680 -17.520 -41.580 46.367 2.761
-12.600 -20.100 -39.900 46.420 2.761
-12.600 -20.100 -39.900 46.420 2.391
-14.160 -22.200 -39.120 47.156 2.391
-14.160 -22.200 -39.120 47.156 2.391
-16.020 -24.300 -37.800 47.707 2.569
-16.020 -24.300 -37.800 47.707 2.569
-18.240 -26.760 -35.520 48.067 2.401
-18.240 -26.760 -35.520 48.067 2.401
-20.160 -28.020 -34.140 48.550 2.363
-20.160 -28.020 -34.140 48.550 2.542
-22.200 -28.440 -32.040 48.252 2.542
-22.200 -28.440 -32.040 48.252 2.445
-24.420 -28.860 -29.280 47.818 2.445
-24.420 -28.860 -29.280 47.818 2.386
-25.860 -28.380 -27.480 47.216 2.386
-25.860 -28.380 -27.480 47.216 2.309
-27.180 -28.200 -25.560 46.769 2.309
-27.180 -28.200 -25.560 46.769 2.385
-28.080 -28.800 -23.880 46.778 2.246
-28.080 -28.800 -23.880 46.778 2.246
-28.380 -28.860 -24.000 47.057 2.267
-28.380 -28.860 -24.000 47.057 2.267
-28.560 -29.520 -24.720 47.939 2.499
-28.560 -29.520 -24.720 47.939 2.499
-27.720 -30.960 -25.620 48.819 2.247
-27.720 -30.960 -25.620 48.819 2.247
-26.760 -31.800 -27.960 50.091 2.333
-26.760 -31.800 -27.960 50.091 2.436
-24.840 -32.400 -29.340 50.275 2.436
-24.840 -32.400 -29.340 50.275 2.417
-22.680 -33.060 -30.000 50.073 2.417
