X,Y,Z,F
13.3800,-9.4200,17.7600,24.1490
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
13.3800,-9.4200,17.7600,24.1490
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
13.2600,-5.8200,20.3400,24.9680
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
14.2800,-3.0600,24.9600,28.9190
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
15.3000,-1.1400,34.0200,37.3200
15.1800,-3.3000,28.8600,32.7750
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
15.3000,-1.1400,34.0200,37.3200
-6.6000,-0.6600,23.6400,24.5530
14.7000,-1.6200,35.4000,38.3650
14.5800,-0.3600,37.2000,39.9570
15.3000,-1.1400,34.0200,37.3200
-6.6000,-0.6600,23.6400,24.5530
-6.4800,-5.1000,21.5400,23.0650
14.5800,-0.3600,37.2000,39.9570
15.3000,-1.1400,34.0200,37.3200
-6.6000,-0.6600,23.6400,24.5530
-6.4800,-5.1000,21.5400,23.0650
-4.3200,-9.0000,19.0200,21.4810
15.3000,-1.1400,34.0200,37.3200
-6.6000,-0.6600,23.6400,24.5530
-6.4800,-5.1000,21.5400,23.0650
-4.3200,-9.0000,19.0200,21.4810
-4.0800,-10.5600,16.7400,20.2090
-6.6000,-0.6600,23.6400,24.5530
-6.4800,-5.1000,21.5400,23.0650
-4.3200,-9.0000,19.0200,21.4810
-4.0800,-10.5600,16.7400,20.2090
-4.8600,-10.9800,14.7000,18.9810
-6.4800,-5.1000,21.5400,23.0650
-4.3200,-9.0000,19.0200,21.4810
-4.0800,-10.5600,16.7400,20.2090
-4.8600,-10.9800,14.7000,18.9810
-6.0600,-11.6400,16.1400,20.8020
-4.3200,-9.0000,19.0200,21.4810
-4.0800,-10.5600,16.7400,20.2090
-4.8600,-10.9800,14.7000,18.9810
-6.0600,-11.6400,16.1400,20.8020
-7.5000,-13.6800,16.5600,22.7510
-4.0800,-10.5600,16.7400,20.2090
-4.8600,-10.9800,14.7000,18.9810
-6.0600,-11.6400,16.1400,20.8020
-7.5000,-13.6800,16.5600,22.7510
-8.8200,-14.5800,17.4600,24.3970
-4.8600,-10.9800,14.7000,18.9810
-6.0600,-11.6400,16.1400,20.8020
-7.5000,-13.6800,16.5600,22.7510
-8.8200,-14.5800,17.4600,24.3970
-12.0600,-10.5600,23.4600,28.4140
-6.0600,-11.6400,16.1400,20.8020
-7.5000,-13.6800,16.5600,22.7510
-8.8200,-14.5800,17.4600,24.3970
-12.0600,-10.5600,23.4600,28.4140
-14.0400,-4.8000,27.1200,30.9140
-7.5000,-13.6800,16.5600,22.7510
-8.8200,-14.5800,17.4600,24.3970
-12.0600,-10.5600,23.4600,28.4140
-14.0400,-4.8000,27.1200,30.9140
-14.3400,3.0600,27.8400,31.4650
-8.8200,-14.5800,17.4600,24.3970
-12.0600,-10.5600,23.4600,28.4140
-14.0400,-4.8000,27.1200,30.9140
-14.3400,3.0600,27.8400,31.4650
-13.9800,4.9200,26.7600,30.5900
-12.0600,-10.5600,23.4600,28.4140
-14.0400,-4.8000,27.1200,30.9140
